74	82	225	253	200	319	504	570	516	679	620	662	601	670	698	682	532	615	805	753	651	691	390	481	482	303	319	236	177	129	89	97	69	44	38	60	10	25	2	0	12	1	10	10	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
66	82	81	147	289	408	412	557	552	546	607	710	705	654	844	736	547	751	789	838	831	552	572	449	560	322	273	190	194	142	160	43	161	57	98	72	41	27	33	5	12	7	0	0	2	0	1	10	10	0	0	0	0	0	0	0	0	0	0	0
67	75	73	107	242	288	301	414	526	514	421	577	564	528	556	693	475	618	749	777	604	541	597	772	592	426	423	355	209	186	171	81	59	79	39	41	44	57	17	20	10	17	15	5	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
80	32	55	180	188	232	406	298	262	454	529	603	539	610	573	672	697	625	735	694	695	628	595	558	460	502	479	480	271	230	248	214	111	149	101	56	56	52	10	29	2	5	5	0	0	0	0	20	0	5	0	0	0	0	0	0	0	0	0	0
49	63	137	94	183	218	237	252	303	301	294	584	609	392	551	629	501	576	569	675	599	544	651	440	651	584	415	429	481	291	230	274	172	63	120	114	61	37	10	25	45	0	10	20	2	0	5	5	1	0	0	0	0	0	2	0	0	0	0	0
52	30	31	70	151	160	250	185	215	270	306	241	427	306	433	358	551	531	515	453	642	521	624	502	696	504	581	384	391	367	299	236	235	161	126	44	71	25	49	20	27	20	2	32	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0
62	32	87	81	58	92	147	171	220	128	282	377	366	321	351	379	436	403	546	557	492	560	587	398	465	593	657	712	527	361	278	386	118	209	164	67	67	54	32	64	17	20	42	0	0	2	0	5	10	12	1	0	0	0	0	0	0	0	0	0
10	29	77	49	52	95	59	112	222	271	319	230	324	244	228	287	353	365	391	398	448	426	534	431	542	490	637	578	618	344	358	345	237	256	154	126	85	94	52	48	67	53	7	10	10	4	20	0	25	0	0	0	0	0	0	0	0	0	0	0
32	45	33	80	83	88	70	99	162	193	153	282	300	260	345	345	248	369	247	295	366	422	461	563	539	540	577	489	706	547	442	371	343	223	122	214	175	83	174	54	40	30	5	21	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	15	25	6	70	136	88	108	114	117	147	232	182	218	268	182	297	403	383	371	414	340	307	502	470	574	546	589	516	609	446	478	257	321	245	184	102	71	79	56	32	4	7	45	26	5	25	0	0	0	0	0	10	10	0	0	0	0	0	0
21	10	14	73	1	64	105	149	102	128	111	183	162	183	269	193	246	258	196	229	346	351	312	401	417	371	574	482	654	679	526	624	310	301	307	173	158	126	108	50	103	60	47	20	30	5	22	2	0	0	0	5	0	0	0	0	0	0	0	0
4	21	30	31	19	89	45	138	128	75	124	176	195	157	188	186	224	174	277	335	344	187	309	268	413	407	437	532	551	472	419	479	540	363	282	299	124	121	166	124	31	51	63	41	5	13	3	11	0	0	0	10	15	2	0	0	4	0	0	0
10	20	57	20	44	19	106	71	52	90	59	69	69	143	209	180	177	66	156	220	219	268	207	253	354	531	448	515	569	553	577	558	648	346	313	338	262	194	96	114	107	36	20	87	27	85	17	25	10	22	10	0	0	10	0	0	0	0	0	0
0	0	5	10	7	10	42	40	30	78	47	33	121	56	146	176	69	122	174	167	210	210	251	360	280	390	298	405	460	497	549	381	569	388	335	267	295	244	190	207	136	151	88	52	15	38	22	3	0	5	0	0	10	10	0	0	0	0	0	0
5	10	28	20	10	15	16	34	32	44	29	73	82	34	88	63	93	139	107	151	213	156	371	142	205	258	378	371	334	352	342	393	409	285	460	284	321	293	215	122	76	63	74	74	25	21	17	43	40	2	22	27	7	0	0	0	0	0	0	0
0	22	0	5	62	17	57	32	48	27	23	47	61	55	96	21	127	83	92	71	169	171	161	192	238	223	183	280	327	355	455	413	315	447	320	233	411	301	189	171	137	84	88	74	74	17	57	11	0	6	0	0	2	0	0	0	0	0	0	0
5	0	5	18	32	5	35	4	22	67	56	52	95	35	54	61	82	84	24	78	67	98	135	236	225	201	196	272	340	376	426	174	296	346	294	418	327	286	344	213	139	157	144	84	81	21	46	19	32	10	21	20	0	0	5	0	0	0	0	0
0	20	5	5	37	12	1	13	35	16	6	81	90	57	35	61	74	43	86	102	83	74	138	110	162	214	147	208	241	214	337	251	281	387	371	331	391	322	415	212	206	152	148	85	153	24	42	5	7	5	10	10	0	0	0	10	0	30	0	0
0	7	60	10	0	2	25	32	15	7	35	33	57	31	28	71	56	40	12	176	49	112	92	163	113	221	249	267	377	215	250	399	423	352	343	334	509	406	260	327	261	192	167	98	89	46	81	50	22	35	0	0	10	1	2	5	0	0	0	0
0	2	5	0	5	6	22	45	15	14	20	4	9	30	35	31	55	52	45	24	76	147	110	77	146	128	106	121	161	213	266	276	328	260	251	215	308	220	254	256	220	187	135	75	111	45	49	40	32	25	22	10	12	20	0	0	1	1	0	2
