1010132	790793
907226	671332
772448	602900
597919	492020
454792	404882
341370	313755
315797	255414
253618	195418
171614	141283
152228	128787
126463	119507
126744	122034
96067	98887
79299	91901
81069	100476
70885	83170
61223	83692
63032	79804
54456	82657
58879	82473
56165	77476
57710	87134
55080	84451
65329	93338
69931	97261
62564	96054
71319	100646
67850	99821
72399	100218
71251	112120
71111	112368
71938	117499
71362	121917
69806	122195
74657	140146
72859	135242
69584	130137
66402	137951
66134	146760
72196	152013
69803	156090
75121	163081
73754	164023
71666	176386
75263	188069
68950	176903
68770	187949
68850	186864
67241	195101
74233	198542
68383	197456
69177	201183
61358	191519
70752	218031
69112	219157
60909	199926
60749	200052
65302	202146
62922	210315
61117	202775
