teg1m,teg2m,teg3m,teg4m,teg5m,teg6m,teg7m,teg8m,teg9m,teg10m,teg11m,teg12m,teg13m,teg14m,teg15m,teg16m,spaar1m,spaar2m,spaar3m,spaar4m,spaar5m,spaar6m,teg1v,teg2v,teg3v,teg4v,teg5v,teg6v,teg7v,teg8v,teg9v,teg10v,teg11v,teg12v,teg13v,teg14v,teg15v,teg16v,spaar1v,spaar2v,spaar3v,spaar4v,spaar5v,spaar6v,educm,heightm,BMIm,healthm,consm,extram,agreem,emom,autom,riskym,Agem,educv,heightv,BMIv,healthv,consv,extrav,agreev,emov,autov,riskyv,Agev
6,5,2,4,4,6,4,4,3,2,2,2,2,2,2,2,4,4,4,4,4,4,3.5,5,4,3,3,3.5,4,3.5,4,4,4.5,4,4.5,4,4.5,4.5,4.5,5,5,5,3.5,4.5,2,190,23.545706,4,-0.516885,0.349181,-0.548776,-0.023992,0.375852,0.728962,42,1,170,22.49135,3,-0.598697,-0.380624,-0.136908,-0.398202,-0.50102,0.560701,41
6,4.5,3.5,3,4,5,4.5,3.5,4,2.5,5,3,4,4,4.5,2.5,5.5,6.5,5,6,5.5,4.5,5.5,4.5,4,2.5,5.5,4,4,4,4,3.5,5,4,4.5,4.5,4.5,3,4.5,3.5,2,5,4,2,2,184,22.152647,3,-0.198811,0.330818,-0.164435,0.08145,-0.231295,0.406705,28,2,165,20.93664,4,-0.331378,0.321146,0.329212,-0.128841,-0.023195,0.159546,26
4,6,5,3,5,4,4,3,4,2,2,2,5,6,4,2,4,3,5,5,4,5,6,5,4,3,4,4,4,4,4,4,4,4,4,4,5,3,2,4,1,5,2,1,2,178,26.511805,3,-0.743163,-0.238336,0.75509,0.995286,0.617777,0.902919,25,2,162,22.10029,3,-0.18764,0.330818,-0.025741,-0.195098,-0.132105,-0.051659,26
5,6,5,5,5,5,5,5,6,2,3,3,6,6,5,3,5,2,3,6,2,3,6,3,3,2,6,5,3,6,5,4,4,4,6,5,5,3,5,2,5,6,2,3,3,177,22.343515,3,0.346999,-1.05141,1.016607,0.731607,0.673375,0.108507,42,1,172,19.605192,4,0.615046,0.312455,0.426369,-0.457643,0.04217,0.31316,39
6.5,4,3.5,4.5,6,2,4,2.5,3.5,2,1.5,1,6,4,2,2,6,6.5,2.5,6,1.5,2,4,4.5,3,3,2,6,3.5,5.5,4,3,3,5.5,5,5,5.5,5,6,6,1,6.5,2.5,1.5,3,178,26.511805,4,-1.98532,0.217057,0.703757,0.405883,0.986692,-0.617587,35,2,178,20.199471,3,0.891351,-0.238336,-0.386769,-0.573773,-0.516766,-0.739868,38
2.5,3.5,3,3.5,2,5.5,3.5,3,4,2,3,5.5,2.5,4.5,5.5,2,3,1,4.5,6.5,2.5,5,4,3.5,3,3.5,4,4,4.5,2,4,2,4,4,4,3.5,4,4,6,3.5,1,7,6,1.5,3,179,19.974407,4,0.087936,-0.797817,-1.31795,-0.233289,-0.516766,0.778152,42,2,165,22.038567,2,-1.011211,-0.370951,-0.441823,-0.443838,0.022683,-0.202905,40
3,2,2,3,1,4,5,6,2,1,1,3,2,4,2,1,4,5,3,5,4,2,6,5,6,4,6,6,6,2,6,6,5,5,5,4,4,5,6,6,3,5,2,2,3,181,22.587833,3,-0.513971,0.044276,-2.106716,-0.029581,0.21363,0.180995,37,2,174,25.102392,3,-0.478029,-0.501601,0.719628,-0.637647,0.716921,-0.337078,33
6,5,4,4,3,4,4,5,3,3,4,3,6,5,5,3,6,5,2,7,1,2,6,2,2,2,4,5,2,6,3,5,6,6,4,2,4,4,4,4,1,5,2,2.5,2,170,21.107267,3,0.080408,0.349181,0.255368,0.204388,-0.374031,-0.719525,35,2,168,22.675737,3,0.327571,0.879644,-0.857905,-1.641137,-1.259215,-0.09451,34
5,7,4,4,3,6,3,4,4,2,5,3,3,4,6,3,6,5,1,6,4,2,6,6,4,4,3,6,5,5,4,2,2,2,2,4,5,4,5.5,4,1,5,1.5,2.5,2,182,23.849777,3,0.633017,-0.21899,0.025592,0.488667,-0.937585,-0.366414,43,2,161,19.675167,3,0.61359,0.065587,-0.513313,0.342847,0.443503,-0.307808,42
4,6,3,5,3,4,5,6,6,3,3,5,4,6,3,3,4,5,2,4,2,3,6,5,4,4,5,6,5,6,5,3,3,4,6,4,4,4,6,3,4,4,2,4,2,198,24.99745,3,-0.226496,-1.335986,0.009722,0.10137,0.189524,0.105537,43,2,167,22.589552,4,0.594162,-0.218007,0.739219,-0.191451,0.673375,0.389459,42
5,5,3,4,2,5,4,4,4,2,2,4,4,4,4,4,4,4,1,4,4,4,5,5,3,4,5,5,5,4,4,2,2,3,5,4,4,3,1,4,4,4,4,4,1,183,25.680075,4,-0.208525,-0.21899,-0.509592,-0.169717,-0.107999,0.421983,31,1,177,24.89706,3,-0.208525,-0.21899,0.477702,0.093962,0.927354,1.047264,29
5,5,5,3,7,3,6,4,3,5,3,2,6,5,4,5,4,5,2,6,4,3,5,6,6,3,6,3,6,6,4,3,3,3,5,5,4,4,4,4,4,4,4,4,1,173,24.391058,4,-0.741707,0.329836,1.223071,-0.098923,1.466803,0.061013,41,2,176,22.598141,3,-0.205611,0.046241,0.997016,0.442312,1.224878,0.728962,38
4,5,5,5,6,5,6,5,6,3,2,4,4,5,3,7,4,1,1,5,2,1,5,5,4.5,2,3,5.5,4,3.5,3,5,6,2.5,2.5,4.5,5.5,1.5,4.5,4,1,5,4.5,2.5,2,198,20.151005,3,-0.227952,-1.335986,0.45811,-0.348183,1.478856,0.003995,29,2,172,20.281233,3,0.22196,0.595067,-0.659943,0.186109,-0.881987,0.123174,26
6.5,4,4.5,1.5,3.5,2,3.5,2.5,4,3.5,4,3.5,5,4,3.5,2,5,2.5,3,6,6.5,5,4,6,3,3,6,5,5,5,5,2,4,2,6,6,5,2,3,4,1,4,2,2,2,185,22.790358,4,-1.554107,0.870954,-0.162574,-0.006068,-0.407856,0.776986,33,2,170,22.49135,3,0.346999,-0.52193,1.258533,0.760654,0.661323,0.085696,33
6,2,3,2,3,5,5,4,1,2,1,5,4,3,2,3,2,3,6,6,3,6,3,5,2,3,4,2,3,2,2,4,2,4,5,5,4,5,4,4,3,4,5,3,2,185,23.374725,3,-0.783476,1.446832,-1.099831,-0.710833,0.697481,1.091497,30,3,170,19.377163,3,-1.544393,0.044276,0.235776,-0.568376,0.066275,0.62203,23
6,4,3,3,2,5.5,3,5.5,4.5,3,6,5.5,2,2.5,5,3.5,7,7,5,7,2.5,2.5,4,5,4,3.5,4.5,4.5,3.5,3.5,4.5,2.5,3.5,3,5,6,4.5,4,6,7,1,7,3.5,1,3,194,24.710384,3,0.614318,0.189021,-1.310015,-0.770414,-1.433489,-0.478326,35,2,180,19.444445,3,-0.332106,-0.512748,0.356739,0.270669,-0.038941,-0.842587,34
4,3,4,3,3,5,3,4,2,3,5,4,4,4,5,3,6,4,4,5,5,4,6,3.5,1.5,2.5,2.5,4.5,3,4.5,5,3.5,4.5,4,2.5,3,5,3,7,7,1,7,1,1,3,175,23.183674,4,0.078951,0.328853,-0.822443,-0.333436,-0.937585,0.494499,30,3,160,20.3125,3,0.079679,0.17984,-1.196987,-0.759064,-0.931559,-1.219422,28
3.5,4,4,4,5.5,3,4,4,4,4,2.5,2.5,5.5,4,4,2.5,6,4,7,6.5,4.5,3.5,4,4.5,2.5,2.5,3,5,4,2.5,3,3,1,3,4.5,3,4.5,3.5,6.5,7,5,6.5,2.5,3,2,192,21.430122,3,-0.741707,-0.645855,0.452035,-0.073675,0.611751,0.495048,33,2,175,22.204082,3,-0.466859,0.177874,-0.275602,-0.372953,0.387905,-0.303547,27
5,5,4,2,3,4,4,4,4,2,5,3,5,3.5,4.5,2.5,5,2.5,4,6,3.5,4.5,4,4,2,4.5,4,2.5,4,3.5,3.5,2,2,2.5,5.5,4,4.5,3,6,2.5,4.5,6.5,4,3.5,3,187,22.877405,3,-0.331378,0.311473,-0.006149,0.2129,-0.628009,0.497982,43,3,164,24.167162,3,-0.865288,-0.494385,0.089147,-0.097909,0.375852,0.319013,38
4,2,2,3,4,3,4,3,2,4,3,4,5,3,3,3,3,1,5,5,5,5,6,5,5,4,6,5,5,5,3,3,4,3,4,6,5,5,1,4,1,4,2,1,2,182,21.132713,3,-1.29723,0.328853,-0.596388,-0.977971,0.121873,1.295883,26,2,168,21.967121,4,0.346999,0.349181,0.45811,0.183058,0.661323,0.184997,25
5,6,5,5,3,5,3,5,6,2,2,3,6,6,6,5,3,3.5,4,5,2.5,5,6.5,3.5,5,5.5,6,2.5,4.5,5,4,6,2.5,5,2,3,3.5,5,4,6,1,6,3,3,1,185,24.251278,2,0.634474,-1.05141,0.532756,0.460802,-0.17565,0.69961,26,1,170,20.069204,3,-0.750692,-0.189971,-0.481007,-1.095163,0.887502,-0.238892,22
4,4,4,3,3,5,3,4,4,3,4,5,4,4,4,3,4,4,4,4.5,4,3.5,6,2,2,2,3,6,4,3,1,2,3,5,3,3,2,2,1,7,5,5,3,3,1,177,25.216253,3,-0.208525,-0.238336,-0.545054,-0.323019,-0.683607,0.607235,49,1,174,34.680935,4,-0.784933,1.446832,-1.361348,-0.692747,-0.120052,0.529986,42
6,5.5,4,3,2,4,6,5,3.5,5,2.5,3.5,3,3.5,5,5,4.5,6.5,2.5,5,2.5,1.5,5,4.5,3,1.5,4,3.5,3.5,3.5,3,2.5,5,3,4,2.5,3.5,2.5,6,4,1,6.5,3.5,1.5,2,179,28.08901,2,0.080408,0.472616,-0.632415,-0.537546,0.384165,-0.276037,32,2,161,21.218317,4,-0.886173,0.727683,-0.164435,-0.175447,-0.540872,-0.453004,28
5,5,2.5,2,3,6.5,4.5,4,4,2,5,3.5,3,4,4,2,5,1.5,4.5,7,5,4,4.5,4,3,2.5,1.5,5.5,4,4.5,4,5,5,6,3.5,5,6,5.5,7,7,1,7,1,1,3,179,24.343809,3,0.191362,0.311473,-0.529184,0.106568,-0.473221,0.613865,41,1,172,21.295294,3,0.633746,0.036569,-1.038701,-1.053059,-0.990897,-1.219422,37
4.5,4.5,4.5,3.5,3.5,4.5,5,4,4,4,4.5,4.5,4,4.5,4.5,2.5,6,4.5,4,6,3,2.5,5,5.5,4,3.5,5,5.5,4.5,4.5,2,2.5,3,3,5,5,4,2.5,5,2.5,2.5,6,5.5,2.5,2,177,25.216253,3,-0.198082,-0.228663,-0.285398,-0.136145,-0.07048,-0.066636,35,2,170,22.145329,3,0.058795,0.480814,0.616396,0.410961,0.518587,0.335279,34
6,4,5,2,4,3.5,3.5,4,3.5,3.5,4,2,5,4.5,4,3,5.5,3.5,4.5,5.5,3.5,3,3.5,5,2.5,4.5,5,2,3.5,3,5,3.5,2,4,5.5,4,2.5,4,4.5,4.5,3,5,3,2.5,2,186,20.233553,3,-0.608411,0.737847,-0.041612,0.175683,-0.286893,0.302737,28,2,158,19.628265,3,-1.707559,-1.062065,0.608461,-0.43695,0.462989,0.120744,27
5,5,4,4,4,4.5,4.5,4.5,3,4,2,2.5,3.5,3.5,2.5,5,6,3,2,6,1,2,4.5,4,3,3.5,3,6,4,4,3.5,3,4.5,5,4,5,5,3.5,6,4,4,7,2,1,3,178,26.511805,3,-0.63901,0.064604,-0.1565,-0.339567,0.53064,-0.410399,41,2,164,20.82094,3,0.345542,-0.086866,-0.545054,-0.375878,-0.50102,-0.430193,41
5,4,4,3,4,3,4,2.5,3.5,2,4,3,4,4,4,2.5,5,2,5,5,3,3.5,6,4,3,5,5,6,3,6,5,2,4,4,4,4,5,4,6,6,3,7,1,1,2,180,25.308641,4,-1.143778,0.188039,-0.303129,0.140286,-0.132105,0.608459,40,2,172,22.309357,3,0.881637,-0.483238,-0.061203,-0.308411,-0.199756,-0.819384,38
2.5,6,4.5,4,4,6.5,3,2.5,3,1.5,3,2,3.5,4.5,4.5,2.5,4,5,3.5,6.5,2.5,5,3.5,4.5,3.5,4,4.5,3.5,3.5,4,4.5,1.5,3,3,3.5,5,4.5,3,4,4,4,5.5,3,2,2,178,26.511805,2,-0.066972,-0.646838,0.120888,0.740214,-0.187703,0.212585,27,2,173,21.383942,3,-0.464673,-0.787652,-0.174231,0.284957,0.088048,0.199035,31
4,4.5,3.5,4,5.5,6,4.5,3.5,3.5,2,2,3,4,4,2.5,4,4,2,3,5.5,2.5,4,4.5,5,3,2.5,3.5,6,4,3.5,3.5,2,3,3,2.5,4,5,2.5,5.5,2.5,2.5,6,2,2.5,3,178,23.04002,4,-0.507171,-0.36177,0.198453,-0.052129,0.893528,0.446932,27,3,165,21.671259,4,0.211518,0.178366,-0.53898,0.161664,0.000911,-0.096799,34
3,4.5,4.5,5,3.5,4.5,4.5,3,4,2,3,3.5,4.5,5,3,3,3.5,2,1,6.5,2.5,3.5,5.5,5,4,4,4,6,3.5,4,4,2,2.5,3,4.5,4.5,4,5,7,7,1,7,1,1,2,175,22.204082,4,-0.897343,-1.053375,-0.154639,0.26861,0.155699,0.108324,36,2,170,21.107267,3,0.058066,-0.076701,0.105018,0.006553,0.094074,-1.219422,34
3,6,2,5,5,6,6,4,6,2,2,3,2,6,5,4,7,3,5,7,2,3,5,5,6,2,4,6,4,4,4,2,5,2,5,5,6,2,7,7,7,7,2,1,3,178,24.93372,3,0.345542,-1.620564,-0.029462,0.244256,1.23693,-0.118882,39,2,172,22.985397,3,0.633017,0.311473,0.235776,0.84175,-0.386083,-0.49717,37
5,3.5,4,4,4,3,4,3,3.5,3,4.5,3.5,4,3.5,3,2,4.5,4,4,4.5,2.5,2,5.5,5,4.5,2,3.5,5.5,4.5,3.5,2.5,3.5,5.5,3,2,3,4,2.5,3.5,5,3,4.5,2.5,3.5,2,188,27.444546,4,-1.29723,-0.077193,-0.441823,-0.130628,-0.259094,0.222394,45,1,167,20.438166,3,-0.209253,0.879153,-0.669739,-0.003096,-0.479247,0.306233,42
4,6,6,3,2,5,3,3,3,2,3,2,6,6,5,2,2,2,6,5,2,5,3.5,6,3.5,2.5,6,5.5,6,3,6,2,2,2.5,3.5,3.5,3,4,4,3,5,6,3,4,2,172,27.379665,4,-0.189097,0.045259,0.290831,1.112603,-0.671554,1.090144,36,2,175,22.204082,4,-0.630752,-0.815197,0.604739,0.153971,1.478856,0.551169,29
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,5,3.5,2.5,5,4.5,4.5,3.5,3.5,3.5,3.5,3,4,4,4,2.5,6.5,5,3,5.5,3.5,2,2,190,24.930748,4,-2.941458,0.289179,-2.645622,-0.425514,-1.024676,0.736225,31,2,171,25.648918,3,-0.475844,0.462943,0.216185,0.011747,0.391598,-0.203681,28
6,4.5,1.5,3,3,6,3.5,5.5,3.5,2,2,4.5,4.5,4.5,4.5,3,6,4.5,5.5,6,6.5,4.5,5,3,3,1,4,6,4,5,3,4,6,5,6,2,6,4,6,5,5,6,3,3,3,189,26.594999,4,0.603876,0.472616,-0.275602,-0.277695,-0.020862,0.691681,45,2,172,25.689562,2,0.901065,0.860298,-0.057482,-1.1178,-0.640062,0.047498,41
4,4,3,4,4,3,4,4,2,3,4.5,4.5,5,3,4.5,5.5,6,6,1.5,6,2,2,6,5,4,3,2,6,3,4,5,2,5,4,4,5,5,3,5,4,4,5,4,3,2,190,22.714682,4,-0.597969,0.063622,-0.041612,-0.846862,-0.259094,-0.621124,35,2,173,24.391058,4,0.345542,0.047224,-0.509592,0.215161,-1.179511,0.379406,34
6,5,6,3,6,3,4,4,3,3,5,2,5,6,6,2,4,5,5,4,4,4,5,5,3,3,4,6,3,6,4,4,4,5,4,2,5,5,5,3,4,4,4,3,2,187,25.737082,3,-0.166756,0.614413,0.719628,0.834859,0.097768,0.742004,44,1,178,22.408787,3,0.881637,0.046241,-0.025741,-0.975814,-0.441682,0.599247,42
4,6,5,4,5,4,6,3,3,1,3,2,4,3,4,5,7,6,1,7,2,2,6,6,4,2,4,5,5,5,4,2,5,4,3,4,6,2,7,5,1,7,4,2,2,181,26.555965,4,-0.743163,-0.219973,0.493573,0.331652,0.982952,-0.908943,37,3,168,20.549887,4,0.634474,0.59605,-0.00987,0.357098,-0.076507,-0.603071,36
5,5,6,6,4,3,5,4,4,2,3,2,3,5,4,4,5,5,5,6,4,4,6,5,2,2,6,4,3,6,2,4,4,3,4,4,4,3,6,4,3.5,5,2.5,2,2,177,22.024323,3,-0.741707,-0.749452,-0.287258,0.570945,0.43145,0.374792,38,2,163,25.593737,3,0.06098,1.163238,0.45811,-0.301453,0.04217,-0.053198,38
6,3,3,2,5,3,5,6,7,3,2.5,1,1,3.5,4.5,4.5,1.5,4,1,2.5,1,1,6,4.5,4.5,2,3,4.5,2,3.5,2,3,4.5,3,3.5,3.5,4,3,2.5,6,1,4.5,2.5,2,2,187,18.301924,3,-0.061873,-0.254733,-1.123144,-0.335104,0.800365,0.219486,28,2,167,19.003908,3,-0.475844,1.163238,-0.537119,-0.004539,-1.120173,-0.050955,27
5.5,5,4,3,4,4.5,3,2.5,3.5,2.5,5,4,4,4.5,4.5,4,5.5,3.5,4.5,5.5,5,3,4,5,3,3.5,2,4.5,3.5,4,3,5,4,4.5,3.5,4,5,6,5.5,6,3,7,1.5,3,2,182,25.661152,3,-0.600154,0.330327,-0.025741,-0.055846,-0.69566,0.465177,38,1,158,22.031725,3,-0.054345,-0.087357,-0.640351,-0.92181,-0.770744,-0.486386,36
2,2,2,2,2,3,4,2,3,2,5,5,3,2,6,4,6,2,2,6,4,2,5,4,3.5,3.5,5.5,3,4.5,3.5,3.5,2,2.5,3,5.5,4,5.5,2,4.5,3,5.5,4,5.5,5,2,173,28.400547,2,-0.702851,-0.258664,-1.603274,-1.09571,-0.869934,0.003767,41,3,156,20.545694,3,-0.444517,0.055423,0.452035,0.149329,0.766539,1.194028,41
4,5,5,5,2,4,5,4,4.5,4.5,2,4.5,4.5,6,5,1.5,7,5.5,1,7,2.5,2,3,5,6,5,3,4,3,3,4,1,5,5,2,6,6,1,4,7,1,5,1,1,2,192,21.701389,4,-0.18764,-0.910595,-0.378833,0.255976,0.201577,-0.810154,46,2,164,21.936348,4,-0.168212,-1.053375,-0.790701,0.863529,-0.937585,-0.640009,42
6,5,3,1,2,2,4,5,2,4,4,3,5,5,2,2,6,5,2.5,6,5,3,4.5,3,4.5,1,4.5,3.5,5,6,2,5,3.5,5,6,4,4,4.5,6,3,3.5,6,4,3,2,178,21.461937,4,-1.315201,1.42847,-0.248075,0.083424,-0.615956,0.008269,34,2,180,24.382715,2,-0.072316,1.001604,0.063481,-0.884258,0.425424,0.180872,27
6,6,2,4,5,6,5,5,3,3,5,5,3,3,5,5,6,3,2,7,1,2,4,6,3,3,3,6,3,6,5,3,4,5,3,4,5,4,5,4,1,5,4,2,1,175,19.918367,2,0.61359,0.349181,0.232055,-0.683228,0.165419,-0.540955,56,1,167,27.968016,3,0.881637,-0.52193,-0.251796,-0.29835,-0.683607,-0.040473,42
5,5,4,3,2,4,4,4,4,3,3,4,3,5,5,4,5,4,4,5,3,2,5,3,3,2,2,6,4,6,4,2,5,5,4,5,5,4,6.5,5.5,1.5,6,3,1.5,3,197,22.41748,3,-0.18764,0.046241,-0.771109,-0.059292,-0.361978,0.158212,43,3,165,22.773186,3,0.881637,0.311473,-1.064368,-0.443223,-0.869934,-0.577688,42
4.5,4.5,3,3,3,5,5,3,4,3.5,3.5,3.5,3,4.5,4,4,6,6,3.5,6,3.5,3.5,4,5,3,3.5,4,6,5,3.5,2.5,2,4,4,4,3.5,4,3.5,4.5,3.5,1.5,5.5,5,4.5,2,182,24.151672,3,-0.476572,-0.096047,-0.667878,-0.317421,0.062535,-0.08468,45,2,172,19.267172,4,-0.075958,0.05444,-0.025741,-0.168095,0.177472,0.433649,31
2.5,3.5,4.5,5.5,5.5,4,4,2.5,5,1.5,1.5,2,4.5,3,3.5,3,3.5,1,3.5,4,3,6.5,4,5,5.5,4,5.5,4,4.5,4.5,4.5,3.5,4.5,4.5,3.5,3,2.5,4,4,2,5,4.5,4,3.5,2,176,21.952478,3,-1.020925,-1.611873,0.051824,0.127539,0.865729,1.172662,28,2,162,20.95717,4,-0.772305,-0.645364,0.206389,-0.281299,0.258582,0.888131,27
4.5,4,4,4,4,4,5,5,4,2,2,3,4.5,4,4,2,2.5,1,6,3.5,4.5,6.5,5.5,3.5,3.5,3,5,3,4.5,2.5,2.5,3.5,2.5,4.5,5,5,4.5,4.5,4,1.5,4,3.5,6,5,2,198,20.40608,4,-0.207068,-0.361278,-0.17237,0.207987,0.685428,1.762296,37,2,167,19.721037,3,-1.00004,0.613921,0.06162,-0.527355,0.645576,1.34694,37
2,4,5,6,6,2,6,4,2,1,1,2,6,5,3,2,4,4,3,5,4,4,6,4,3,4,3,4,3,6,4,4,5,4,3,4,5,4,3,3,3,5,4,3,2,185,23.959095,4,-1.295773,-1.035995,0.703757,0.724789,1.732834,0.49608,31,2,163,24.088223,3,0.348455,0.065587,-0.806572,-0.586511,-0.937585,0.578566,30
5,6.5,4.5,3.5,4,5,5.5,2,4.5,1,2,2,4,6,5.5,2,6,3.5,4.5,5,4,4,6,4,5,3.5,4,6,3.5,4,3,2,4,3,2.5,3.5,4.5,3,7,7,1,7,2,1,3,194,24.178978,4,-0.313407,-0.228171,0.390341,1.145025,0.840217,0.482012,34,2,170,20.761246,4,0.201804,0.481797,-0.695405,0.123821,-0.286893,-1.111128,33
4,6,2,2,4,4,4,6,4,2,4,4,4,4,4,4,4,7,4,7,4,1.5,5,5,4,4,4,4,4,4,4,4,2,4,4,3,5,4,6.5,6.5,3.5,6,2.5,1,2,183,20.603781,2,0.06098,0.026896,0.251647,-0.148339,-0.132105,-0.21281,43,2,168,28.344671,2,-0.18764,-0.21899,-0.025741,-0.462659,0.375852,-0.572917,40
5,4,4,3,5,3,5,2,2,5,4,4,2,3,4,4,1,1,1,1,1,1,2,2,4,3,3,2,4,4,3,2,1,3,4,4,5,4,1,1,1,1,4,5,2,176,24.212294,3,-1.277802,0.61343,-0.584238,-0.740403,0.419397,0.736225,38,2,167,20.438166,4,-0.720822,-0.523895,-1.099831,-0.340206,0.387905,1.512707,36
4,5,4,6,5,2,6,2.5,6,4,1,2,6,6,1,7,4,1,4,4,4,4,7,5,3,3,6,4,6,4,4,3,3,2,6,6,4,6,3,4,2,4,4,4,2,193,28.188677,3,-2.272796,-1.601218,0.739219,-0.215835,1.490909,0.996818,29,1,170,20.069204,4,-0.475116,0.615395,0.981145,-0.058699,1.224878,0.63041,28
5,6,3,3,6,7,5,4,6,2,3,4,6,6,4,4,4,4,4,4,4,4,4,3,4,3,6,6,3,6,5,3,1,3,6,4,6,5,7,7,4,4,4,4,2,188,20.937075,3,0.324657,-0.520947,1.258533,0.233295,0.915301,0.728962,45,2,177,20.109163,3,1.169113,-0.52193,0.426369,-0.475964,0.804105,0.142806,34
4,7,6,4,2,5,4,6,4,1,4,2,4,7,6,2,6,5,2,6,2,2,7,2,3,3,7,3,4,6,1,3,4,3,5,5,3,4,6,3,6,7,4,5,3,200,20.5,3,0.902522,-0.503567,0.045184,1.522505,-0.615956,-0.480675,29,2,162,21.71925,2,-0.493087,1.466178,0.129389,-0.464413,0.593672,0.531933,29
5,5,6,6,2,4,5,4,4,3,2,5,5,5,4,3,6,6,2,6,2,2,5,6,2,4,5,4,5,6,4,2,3,5,5,5,6,3,1,7,1,7,2,1,2,184,25.697069,3,-0.475116,-0.749452,-0.248075,0.182466,0.201577,-0.56996,45,2,173,19.045073,2,0.635931,-0.21899,0.75509,-0.009055,0.673375,-0.474525,35
5,6,6,4,4,4,5,5,5,2,4,4,5,6,4,2,3,3,3,6,4,5,5,5,3,4,5,4,5,6,4,4,4,3,4,3,4,5,6,6,1,6,3,1,3,185,19.868517,3,-0.207068,-0.502584,0.513164,0.856048,0.177472,0.673811,30,3,173,20.715694,3,0.06098,-0.21899,0.216185,-0.587101,0.419397,-0.676893,31
4,4,5,3,5,3,3,5,5,6,6,4,3,3,6,6,5,5,3,5,5,3,3,6,6,6,7,4,4,6,5,2,2,2,7,6,6,5,7,2,2,5,5,2,1,198,28.058361,3,0.101292,-0.52193,-0.322721,-1.032941,-0.707713,0.296088,32,2,170,20.069204,4,0.635931,-1.602201,1.761976,0.706395,1.101628,0.136516,30
6,5,3,3,4,5,4,5,3,2,5,2,3,6,7,2,5,5,5,7,7,4,5,5,4,3,4,5,4,5,5,3,4,5,4,5,4,4,5,6,2,4,2,2,1,192,26.041666,3,0.92195,0.614413,-0.287258,0.62196,-0.386083,0.569117,37,2,169,27.309969,3,0.059523,-0.237353,-0.025741,-0.187569,-0.132105,-0.202749,34
3,5,4,4,6,4,3,2,5,3,6,5,4,3,3,4,5,2,3.5,5,1.5,3,6,4,4,3,3,3,4,3,3,2,5,6,5,5,3,2,3,3,3,4,4,3,1,178,25.880571,4,-1.298687,-1.071738,0.45811,-0.451887,-0.465787,0.236079,30,1,168,23.030045,3,-1.29723,0.614413,-0.283537,-0.044685,-0.628009,0.709121,26
4,4,6,2,5,4,4,3,4,3,3,2,5,5,4,5,5,5,2,5,4,2,4.5,4,3,2,4,5,4,6,4,4,4,5,4,4,4,5,4,5,2,5,4,4,2,180,25,2,-0.743163,0.026896,0.200314,0.157799,0.363799,-0.027432,38,2,165,31.221304,2,0.327571,0.169184,-0.303129,-0.85019,-0.132105,0.304469,37
5,4,3,3,3,5,4,3,5,3,2,3,3,5,5,3,6,6,2,6,3,3,4,5,3,3,5,6,5,4,4,3,3,4,5,6,6,3,6,4,2,5,2,2,2,185,21.913805,3,-0.189097,-0.237353,-0.806572,-0.051622,0.133926,-0.348767,31,2,157,21.907583,3,0.633017,-0.238336,0.477702,0.090954,0.673375,-0.260835,28
4.5,5,3.5,4.5,4,5.5,4,4,4,1.5,4,3.5,3,3.5,4.5,2,5,2.5,5.5,5,4,3.5,4,2,2,3,4,2,4,3,6,3,4,4,6,2,3,1,4,4,4,7,3,4,2,183,23.291229,4,0.068509,-0.493894,-0.287258,0.22733,-0.132105,0.723273,40,2,168,21.258503,4,-1.563821,-0.805524,-0.33487,-0.700276,-0.132105,0.229002,38
5,4,4,2.5,4,5,5,4,4,4,4,3.5,3.5,3.5,5.5,4,6,5,6,6,3,3,4,5,4,4,4,5,4,4,5,3,3,4,4,3,4,4,6.5,6,1,5.5,1.5,2,2,170,26.98962,4,0.222689,0.178857,-0.433888,-0.471135,0.177472,0.149824,32,1,158,24.034611,3,-0.208525,-0.787161,-0.025741,-0.32361,0.121873,-0.714206,31
4.5,5,3.5,3,4,5.5,4.5,4.5,3.5,3.5,5.5,3.5,3,2.5,4,3.5,5,4,2.5,5.5,5.5,2.5,5,5,5,3,4,5,4,2,2,2,2,5,4,3,4,5,5,4,4,4,5,5,2,186,26.59267,4,0.058795,0.04575,-0.287258,-0.386032,-0.358284,0.266629,37,2,169,28.71048,4,-0.74462,0.61343,-0.025741,-0.330923,0.375852,0.844056,38
4,5,4,1,6,5,3,4,3,2,1,1,3,6,4,6,7,6,7,7,1,2,7,5,5,2,2,7,3,5,4,2,4,3,4,4,5,4,7,1,1,7,1,1,2,189,23.515579,4,-0.208525,0.575721,0.196593,0.325944,0.804105,-0.403278,31,2,163,23.711845,3,0.880181,0.880627,-0.509592,0.193192,-0.925533,-0.683711,28
6,6,6,3,7,6,4,5,3,2,5,1,7,6,6,2,6,7,4,7,2,1,7,6,7,2,4,7,5,7,4,1,4,2,5,6,6,3,3,1,1,7,2,1,2,176,29.377583,4,0.901065,0.614413,1.761976,1.24088,0.339693,-0.698049,43,1,163,19.571682,4,1.703752,0.880627,0.513164,1.233566,0.177472,-0.151016,40
