teg1m,teg2m,teg3m,teg4m,teg5m,teg6m,teg7m,teg8m,teg9m,teg10m,teg11m,teg12m,teg13m,teg14m,teg15m,teg16m,spaar1m,spaar2m,spaar3m,spaar4m,spaar5m,spaar6m,teg1v,teg2v,teg3v,teg4v,teg5v,teg6v,teg7v,teg8v,teg9v,teg10v,teg11v,teg12v,teg13v,teg14v,teg15v,teg16v,spaar1v,spaar2v,spaar3v,spaar4v,spaar5v,spaar6v,educm,heightm,BMIm,healthm,consm,extram,agreem,emom,autom,riskym,Agem,educv,heightv,BMIv,healthv,consv,extrav,agreev,emov,autov,riskyv,Agev
5,4,4.5,4,4.5,4,4,4,5,2.5,4.5,3,4,4,4,3,5,4.5,2.5,5.5,3.5,2.5,5,3.5,3.5,3.5,3.5,4,4.5,4.5,3,3.5,2.5,4.5,4,3.5,5,4.5,6,6,2,6,3,2,2,184,23.334122,3,-0.475116,-0.502584,-0.182166,0.061718,-0.138131,0.005399,37,2,174,22.460033,2,-0.053616,0.19722,-0.562786,-0.725594,0.282688,-0.461667,35
5.5,5.5,4,3.5,4,4.5,4.5,3.5,4,2.5,2.5,3.5,3.5,4,3.5,3,4,4,1,5,1.5,1,4.5,5,4,3.5,3.5,4.5,3.5,4,4,3,3.5,4,4.5,4.5,4,4,2.5,6,1.5,5.5,1.5,1.5,2,187,24.307243,2,-0.619582,0.055914,-0.017806,0.146962,0.403651,-0.318007,37,1,168,24.09297,3,-0.34182,-0.228663,-0.015945,-0.125371,-0.280867,-0.295091,34
5.5,5.5,3,2,3,5,4,4.5,2.5,3.5,4.5,4.5,4,4.5,3.5,3.5,4.5,6,3,5,4,3,4.5,5.5,4,4.5,5,5,5,5,3.5,3.5,4,4,4.5,4,6,5.5,7,7,2.5,7,1,2.5,2,185,24.251278,3,-0.218238,0.879153,-0.128972,-0.239303,-0.50102,0.15156,32,2,160,26.171875,4,0.634474,-0.352097,0.485637,-0.394732,0.419397,-0.896582,29
3,5,3,6,4,5,6,5,5,2,3,2,5,4,5,5,6,5,2,6,2,2,5,5,3,3,6,5,4,5,4,5,4,3,6,5,3,4,5,3,3,5,1,1,2,173,19.379198,3,0.346999,-1.602201,0.235776,-0.048565,0.741027,-0.480675,35,2,165,21.671259,4,-0.227952,0.046241,0.981145,-0.32643,0.351746,-0.184317,30
4.5,4,5.5,6,5,5,4,3.5,4,2,1,2,6,4.5,1.5,2,5,4,4,5,4.5,4,5.5,3.5,1.5,1.5,1,3.5,2.5,6.5,1,2,1.5,3,1,3,5,5.5,4,4,4,4,4,4,2,187,25.165146,3,-1.061237,-0.891741,0.461831,0.578318,0.871756,0.546453,31,2,175,20.571428,3,0.349184,1.43716,-1.952152,-0.760718,-0.687301,0.728962,31
4,4,5,3,4.5,4,4.5,3.5,3,3,4,2.5,4.5,5,4,3.5,5,5,5,6,4,4,4,5.5,3.5,6,5,6,3.5,4,4,2.5,2.5,4,4.5,3,4.5,3.5,4,6.5,4.5,5.5,5,4,2,189,24.635368,4,-0.60914,0.045259,-0.051407,0.179447,0.143646,0.374792,27,2,173,21.049818,4,0.201804,-1.034029,0.485637,-0.175695,0.336,0.469373,26
3.5,5.5,5,5,5,5.5,4.5,4.5,3.5,2.5,3,4,2.5,3.5,3,4,3,4,3.5,3,3,1.5,4,4,4,3.5,4,6,5,4,3,1.5,4.5,5,3.5,4,3.5,3,6.5,4.5,1,6.5,2.5,1.5,2,183,28.068918,3,-0.228681,-0.769289,-0.037398,-0.001342,0.518587,0.523911,43,2,175,32,3,-0.085671,-0.087357,-0.433888,-0.114445,0.050482,-0.658991,42
4,5,5,5,3,5,3,3,3,3,5,3,5,5,5,2,4,3,3,5,3,4,2.5,4,3.5,5,3.5,4.5,3.5,5,5,3.5,4.5,5,5,5,5,5.5,5.5,4.5,3.5,5,1.5,3,3,187,20.589664,3,-0.189097,-0.485204,-0.006149,0.457107,-0.937585,0.477072,42,2,165,18.365473,4,0.213703,-1.479258,-0.162574,-0.657549,-0.534845,-0.040184,39
4,6,5,3,5,4,4,5,5,3,4,4,5,6,5,4,3,4,4,4,4,3,5,5,4,2,4,4,4,6,4,4,3,3,6,4,4,5,7,7,4.5,6.5,4,1.5,2,178,17.674536,4,0.080408,-0.52193,0.75509,0.328878,0.109821,0.722163,42,1,158,21.230572,2,0.06098,0.311473,0.497294,-0.337626,0.121873,-0.414671,37
6,5,5,3,4,6,4,4,5,3,2,4,6,4,4,4,4,2,6,6,2,4,5,5,1,2,3,5,1,6,1,4,5,1,1,2,5,4,7,7,1,7,4,1,2,183,24.187046,3,0.058066,0.047224,0.497294,-0.074134,0.375852,0.634487,41,2,168,20.549887,4,0.615046,1.162255,-1.052219,-0.561936,-1.556738,-0.894541,39
4,5,4,3,3,4,4,4,4,3,4,2,4,5,4,3,6,6,1,6,2,1,4.5,3.5,3.5,2,2,3,3,5,2.5,5,4,2.5,4,4.5,4,4.5,6,5,3,4,3.5,2.5,2,182,24.151672,3,-0.475116,-0.238336,-0.267666,0.332665,-0.374031,-0.785187,30,2,159,22.151022,4,-0.473659,0.594576,-0.925674,-0.545455,-0.925533,0.101653,25
5.5,5.5,4.5,2,4.5,3,3.5,4,4,1,4,3.5,4,1.5,4,1.5,4,2,1,6,1,4,4.5,4,5,3,4,2.5,4,4,3.5,4.5,3,5,5.5,4,5,3,6,5,2,6.5,3.5,3,2,190,26.869806,4,-0.741707,0.453761,0.233916,0.286901,-0.16593,0.014561,29,2,169,27.660095,4,-0.587527,0.04575,0.089147,-0.414278,0.121873,-0.270613,28
5,4,4,2,4,4,4,4,4,3,4,3,4,4,4,4,6,7,3,6,4,3,5,4,3,3.5,4,5,4,5,2.5,3,4,4.5,3,4,4,4.5,4.5,6,2,6,4,3,1,174,28.075043,3,-0.475116,0.311473,-0.303129,-0.201868,-0.132105,-0.227432,43,1,159,22.546576,2,0.059523,0.339017,-0.564646,-0.579301,-0.132105,-0.081322,38
5,7,3,3,4,3,5,4,5,2,4,4,3,6,5,4,7,7,1,7,1,1,4,4,3,4,2,4,3,6,4,2,2,2,2,4,5,6,7,7,1,7,1,1,2,168,31.887754,3,-0.454231,-0.237353,0.267518,0.371989,0.177472,-1.219422,40,2,170,23.183392,2,0.348455,-0.503567,-1.310015,-0.322662,-0.417576,-1.219422,39
4,4,3,4,3,3,3,4,3,4,5,5,4,4,4,4,6,4,3,5,4,3.5,3.5,4,2,4,3.5,5.5,4.5,4.5,4,2,3,4.5,4,4,5,5,6,6,3,5,1,1,2,167,24.740938,2,-0.741707,-0.219973,-0.545054,-0.714788,-0.937585,0.227429,46,2,168,24.801588,3,0.34627,-0.645855,-0.424092,-0.625268,0.155699,-0.558272,41
3.5,4.5,3,3.5,3,4.5,3.5,3.5,3,2,2.5,3,3.5,2.5,4,2.5,2,7,5,5.5,6.5,6,6.5,3.5,3.5,2,5,2.5,4,3.5,2,3,2.5,3,7,2.5,4,2.5,3,3,1.5,3.5,1.5,2,2,186,22.835011,4,-0.475844,-0.229645,-0.537119,-0.105922,-0.147851,1.076336,31,2,163,21.077196,3,-1.009026,1.305527,0.584655,-0.325007,0.490788,0.237275,24
6,5,6,2.5,2.5,4,4,4,3.5,2.5,4,4.5,2.5,4,4,4,6,7,1,6.5,1.5,1,5.5,4.5,3.5,3,4.5,3.5,5,4.5,3,4,4.5,5,5.5,3.5,4.5,3.5,3,4.5,2.5,6.5,4,2.5,2,178,21.14632,3,-0.475116,0.605231,-0.780905,0.048568,-0.494993,-0.993897,43,2,164,22.308149,3,-0.330649,0.472124,0.348804,-0.585161,0.171445,0.141191,39
4.5,5,4.5,2,2,4,3.5,4.5,1.5,1,2.5,2,4,4.5,3,1.5,4,2.5,6,5.5,6.5,6,4.5,4.5,3,3.5,4,6.5,4.5,5.5,3.5,1.5,1.5,5,4,4,3,5.5,6,5,2,1.5,3.5,1.5,1,173,26.729927,4,-0.628567,0.87817,-0.509592,0.806447,-0.389777,1.368244,31,1,175,22.857143,3,0.305958,-0.086866,-0.164435,-0.50092,0.657629,0.212815,29
4,4.5,4,5,4.5,2.5,4,3,4,3.5,2,4.5,5.5,4.5,3.5,3.5,2.5,1.5,4,5.5,5.5,5,6,5,2.5,4.5,4,3.5,5,4.5,2,2,4,4,4,2.5,3.5,3.5,6.5,5.5,4.5,7,2,2,3,182,24.151672,4,-1.286788,-0.768798,0.348804,-0.26068,0.496815,1.190833,40,3,168,19.84127,2,-0.618125,0.50016,-0.025741,-0.358912,0.177472,-0.453108,40
5,6,5,5,4,5,5,5,4,2,5,2,5,6,6,2,5,4,5,6,4,4,6,4,3,2,3.5,4.5,3.5,5.5,3.5,5,3.5,5.5,4.5,3.5,3,4.5,5,4,4.5,6,3.5,2.5,3,189,20.15621,4,0.634474,-0.484221,0.513164,0.995286,-0.076507,0.464077,32,3,178,20.199471,4,-0.227224,0.737847,-0.293333,-1.051757,-0.280867,0.189417,31
6,4,4,3,4,4,3,5,3,4,4,5,5,5,5,4,5,4,4,6,4,3,5,4,3,4,5,6,3,4,4,2,3,4,5,5,5,3,4.5,4,3,5,4.5,3,2,193,20.940159,3,0.080408,0.614413,-0.041612,-0.465313,-0.441682,0.24885,42,2,165,23.140495,3,0.345542,-0.21899,0.200314,-0.04085,0.054222,0.384277,42
6,6,4,3,6,5,5,2,2.5,3.5,4,3.5,4,4,4,2.5,5.5,4,5.5,5.5,3,4,6,5.5,3.5,2,4.5,4,5.5,3.5,3.5,2.5,4,3.5,4,4,5.5,3,6,5.5,4,6.5,2,1.5,2,179,22.471209,4,-0.74462,0.75621,0.735498,0.144961,0.661323,0.419174,25,2,172,22.985397,3,-0.177926,0.737847,0.233916,0.088304,0.453223,-0.442393,23
7,5,4,1,5.5,3,4,3.5,3,4,4,2.5,3.5,4.5,4,1.5,7,5.5,4,5,4,4,5.5,2.5,3,3,5,1,3.5,4,4.5,5,4,4.5,7,5,6.5,1,7,4.5,2.5,7,1,2.5,2,183,25.97868,3,-0.87573,1.429452,0.206389,0.266501,0.230783,0.146178,33,2,184,20.380434,3,-0.5562,0.046733,0.307267,-0.459374,-0.044968,-0.673369,26
5,5,4,3,3,5,4,4,4,3,3,3,5,5,5,4,4,7,4,6.5,4,4,4.5,4,4,4,4,4,4,5,4,4,4.5,5,4.5,4,4.5,4,3.5,6,4,5,4,4,1,177,27.131413,4,0.078951,0.046241,-0.006149,0.068985,-0.120052,0.134718,43,1,168,23.030045,2,-0.06333,-0.361278,-0.17237,-0.597472,-0.259094,0.472887,42
3,6,5,5,5,2,5,4,6,2,5,3,5,6,6,3,6,2,2,6,6,6,6,5,5,3,6,6,6,5,5,3,2,2,6,6,6,3,6,6,1,6,3,5,2,187,24.307243,3,-0.433346,-1.620564,0.75509,0.731607,0.165419,0.671955,33,2,167,21.155294,1,0.901065,0.047224,0.981145,0.58214,1.478856,-0.225293,32
4.5,4.5,4.5,3.5,4,5,4.5,3,4.5,2.5,3.5,4,3.5,3.5,3.5,2,6.5,6,2,7,2,1.5,5.5,4.5,4.5,2.5,4.5,4,4.5,3,5,3.5,4,4,6,4,5.5,4,2,6.5,1,7,1,1.5,2,189,24.635368,4,-0.62031,-0.37046,-0.295194,0.072111,0.149672,-0.810017,29,2,162,27.434843,3,-0.31195,0.037551,0.479563,-0.271664,0.143646,-0.587827,28
3,6,6,4,2,4,4,3,5,2,4,2,2,6,4,2,2,1,1,3,7,6,6,7,2,2,3,5,4,3,4,2,4,3,4,6,6,2,5,1,2,6,5,5,2,187,22.877405,3,-0.743163,-1.071738,-0.755239,1.112603,-0.615956,1.583276,37,2,178,28.405504,3,0.098379,0.59605,0.28711,0.653755,-0.374031,0.646147,32
6,5,2.5,3.5,4,5,4.5,3,3,3,5,3,4,4.5,4,4.5,6.5,4,3.5,7,2,2,4,5,3,4.5,3.5,5,4.5,3.5,3,2.5,3,3,5,5,5.5,4,5.5,3.5,3.5,6.5,4.5,2,2,172,27.717686,3,-0.476572,0.481797,-0.025741,-0.24077,-0.231295,-0.421507,62,2,172,21.971336,3,0.088665,-0.352588,0.114814,0.021194,0.155699,0.065248,40
4,6,6,3,3,5,5,3,4,2,4,5,3,5,5,2,5,5,3,5,3,3,5.5,5.5,4,3,3.5,5.5,4,4.5,4,2.5,5,4,4.5,5,5,3.5,6,6,3,5,3,3,1,175,27.102041,3,-0.189097,-0.238336,-0.251796,0.595612,-0.064454,0.079501,41,2,173,26.06168,3,0.34627,0.18853,0.122749,0.147281,-0.507046,-0.115885,37
3.5,4.5,5,3,5,5,3.5,4.5,5,2.5,2.5,3.5,5.5,5.5,4,3,4,2.5,3,4,4.5,3,5,4,3,3,4,5,4,5,3,4,4,4,3,3,5,4,4,4,4,4,3,2,2,184,24.220226,4,-0.074501,-0.664218,0.469767,0.323823,0.336,0.70181,36,2,179,23.095409,3,0.346999,0.329836,-0.564646,-0.71867,-0.132105,0.394868,34
4,2,6,4,2,2,2,4,2,4,3,4,2,3,6,4,4,4,5,5,4,3,5,4,2,3,6,6,3,6,2,3,1,5,5,2,4,5,4,4,4,4,4,4,2,190,21.329639,4,-0.433346,0.063622,-1.864791,-0.644109,-0.981131,0.587833,29,2,162,22.862368,3,0.594162,0.61343,0.44224,-1.092775,0.804105,0.728962,23
6,5,6,4,3,3,4,3,5,3,3,2,3,6,4,3,6,4.5,3,5,3.5,2,4,6,4,4,5,5,4,3,4,3,4,4,5,5,4,3,5,5,3,6,2,2,2,193,24.69865,4,-1.009754,-0.218007,-0.529184,0.699456,-0.120052,-0.04071,28,2,173,23.388687,3,-0.476572,-0.503567,0.75509,0.214805,0.109821,-0.272248,23
4,5,3.5,2,5,4,4.5,3.5,3,2,3,4,4,3.5,3.5,2.5,5,3.5,1.5,5.5,3.5,2,5,5,4,2,4,4,5,1,1,5,4,4,5,4,4,5,4,6.5,1,4,1,1,2,186,20.522604,3,-0.752877,0.31049,0.216185,0.025965,0.518587,-0.064092,32,2,165,30.486685,4,-1.279259,1.162255,0.235776,-0.604953,0.177472,-0.464811,28
6,6,1,3,1,6,5,6,2,6,7,6,2,4,6,6,7,7,5,7,1,1,6,6,5,4,4,6,6,2,4,2,2,3,3,5,5,6,5,6,1,3,1,1,1,186,30.35033,2,1.169113,0.898007,-0.997164,-1.349214,-1.31024,-0.810116,46,1,170,31.141869,3,-0.190554,0.065587,-0.00987,0.193241,0.995005,-0.395713,41
4,7,7,5,4,4,5,2,6,2,2,3,4,6,6,2,4,3,5,4,3,4,4,4,3,4,3,5,3,6,4,4,5,5,4,3,5,4,4,4,5,4,3,3,2,187,24.307243,4,-0.43626,-1.335986,0.529035,1.240336,0.685428,0.81228,30,2,175,18.285715,3,0.615046,-0.503567,-0.545054,-0.846947,-0.937585,0.610095,27
5.5,5.5,3.5,3,4.5,5.5,3.5,4.5,5,3,2.5,2.5,2.5,4,3,4,6,5,1,6,5.5,1.5,4.5,6.5,2.5,2,3.5,6,5.5,4,2.5,4.5,5,3.5,2,3.5,5,6,6,6.5,1,6.5,2.5,1,2,178,19.883854,3,-0.228681,-0.095064,-0.15836,0.011654,0.215037,-0.260424,29,2,158,24.034611,4,0.345542,0.594576,-0.253656,-0.640704,-0.042681,-0.840961,29
5,3.5,3.5,5.5,5.5,5,5,3.5,2,2,2,3.5,4,4,2,3.5,6,5.5,3,6,2,2.5,4,3.5,4,2.5,2.5,4.5,4,4.5,3.5,4,5,4.5,3.5,3,5,4,5,5.5,3.5,6,2,2.5,2,190,26.31579,1,-0.9175,-0.049648,-0.078935,-0.18726,1.048317,-0.366541,34,1,162,23.624447,3,0.079679,0.036077,-0.93547,-0.734839,-0.748972,-0.209278,37
4,7,6,2,6,6,6,5,3,2,1,5,3,7,5,5,3,1,2,6,5,4,6.5,3,4.5,4.5,5,5,4,3,3.5,2,4,4.5,4,6,6,2.5,6,6.5,2,7,4,2.5,3,189,24.355421,4,0.61359,0.31049,0.751369,0.592417,1.732834,0.745448,37,2,170,22.145329,4,0.098379,0.217057,-0.338591,0.132152,0.109821,-0.472121,31
5.5,4,2.5,4,5.5,4,4,4,1,1,2.5,4,4,4,4,1,7,2.5,4,6,2.5,1,5,2.5,4,3.5,5,5,4,4,1,3.5,3.5,4,5,5,5.5,2,5.5,4,3,6,1,4,2,172,24.675501,4,-0.475116,0.774081,0.059759,0.178188,0.611751,-0.217664,38,2,160,18.359375,4,0.222689,0.764409,-0.215768,-0.204747,0.23681,-0.118507,35
2,7,5,4,3,5,4,4,5,2,5,2,5,6,5,2,5,5,4,6,3,2,6,6,4,3,5,4,3,6,4,3,5,3,5,6,5,3,4,3,2,6,3,2,2,183,20.902386,4,0.078951,-1.356315,0.548627,1.13398,-0.628009,-0.061628,30,2,160,18.359375,4,0.348455,0.330818,0.75509,0.475241,-0.453734,0.018389,27
5,6,6,1,2,5,3,5,6,3,2,5,1,4,5,6,6,7,3,6,5,1,4,3,2,3,6,3,6,2,2,5,4,2,2,5,2,5,2,2,2,7,1,1,1,184,25.106333,3,0.346999,0.009516,-1.016756,-0.217206,-0.417576,-0.344938,35,2,165,36.730946,2,-1.852753,0.328853,-0.619701,-0.72826,0.970899,-0.140168,30
6,5,4,4,4,2,4.5,3.5,3.5,2,2,3,4,2.5,3,2,4.5,2,4,6,5,3.5,4,4,2,4,4,5,5,5,3.5,2,3.5,4,4,4.5,5.5,5,4.5,2.5,3.5,5.5,3.5,5,2,173,20.047445,3,-1.429797,0.207384,-0.025741,0.148443,0.53064,0.645215,29,3,169,18.206646,1,0.490736,-0.36177,-0.303129,-0.49505,0.304461,0.621597,31
6,5,4,3,3,5,4,4,4,2,4,2,3,5,6,4,7,5,1,7,1,2,4,5,4,5,4,6,3,4,4,2,3,4,6,5,5,3,6,4,2,6,2,2,3,182,22.038401,3,0.366426,0.330818,-0.529184,0.336312,-0.374031,-0.927952,34,2,168,20.195578,3,0.345542,-0.768798,0.497294,0.215161,-0.187703,-0.39139,28
6,5,6,3,2,6,4,4,6,3,4,3,3,6,6,2,4,6,2,7,2,2,6,5,3,2,6,5,5,6,3,4,4,3,5,5,5,4,5.5,6.5,2.5,7,2.5,1,2,171,21.545092,3,0.633017,-0.23637,-0.771109,0.706582,-0.615956,-0.488315,45,1,167,21.155294,2,0.615046,0.879644,0.719628,-0.18738,0.661323,-0.699699,41
5,5,5,2,2,6,5,5,4,3,6,3,5,6,6,3,5,4,6,5,3,4,6,7,2,2,6,4,4,6,3,4,4,5,7,4,4,4,6,2,2,7,3,1,2,180,30.864197,2,0.901065,0.311473,-0.248075,0.453863,-0.814336,0.588665,47,2,160,21.09375,3,0.06098,0.879644,1.797438,-0.416022,0.351746,-0.347982,42
4,5,5,3,4,4,4,5,3,3,4,4,5,5,6,3,3,3,5,6,3,4,5,5,4,3,3,5,4,6,3,5,6,5,4,6,6,2,4,4,4,4,4,4,3,183,21.499598,3,0.367883,0.045259,0.235776,0.193427,-0.132105,0.65727,43,2,173,19.379198,3,0.902522,0.329836,-0.267666,-0.062704,-0.881987,0.728962,38
5,5,4,3,5,3,4,5,6,2,3,4,3,4,5,4,4,4,1,6,2,1,5,6,3,3,5,5,5,5,3,3,3,3,3,5,5,3,6,5,4,4,5,2,2,183,23.888441,4,-0.186183,-0.520947,-0.045333,-0.052401,0.363799,-0.394416,35,2,163,22.959087,4,0.346999,0.329836,0.232055,0.225766,0.673375,0.30997,34
3.5,2.5,2,5,4.5,2,3,3.5,3.5,4,2.5,4,6,4,4.5,4.5,3,3,4,4,3.5,5,5,5.5,4.5,3.5,3.5,5.5,4,4,4,3,3,3,3.5,4,3.5,2.5,4.5,4,2.5,5.5,4.5,4,2,174,28.075043,3,-0.998584,-0.769289,-0.075213,-0.979569,0.060249,0.983101,31,2,173,20.715694,3,-0.218967,-0.086374,-0.138768,0.267935,0.000911,0.380736,31
5,4.5,2,3.5,4,5,4,3.5,3,3,4,4,4,5,4,4,6.5,5,2,6,2,2,6,5,2,2,2,6,6,4,2,4,6,4,4,4,4,4,6.5,4,2,6.5,2.5,3,2,185,22.790358,3,-0.342548,0.19722,-0.164435,-0.363271,-0.132105,-0.533726,37,2,170,20.415224,3,0.058066,1.163238,-0.509592,-0.565133,-0.50476,-0.342671,35
5,5,4,3,3,4,5,4,4,3,3,3,4,4,5,3,6,6,2,6,2,1,6,4,2,3,4,6,5,5,5,3,4,5,4,4,4,4,5,5.5,3,6,2,2,1,175,22.857143,3,-0.18764,0.046241,-0.267666,0.072229,0.189524,-0.682861,35,1,164,17.474718,2,0.326114,0.047224,-0.303129,-0.693054,0.177472,-0.316891,33
4,6,7,2,1,4,4,4,3,4,5,1,5,6,5,6,6,5,3,6,2,3,6,6,2,4,7,6,4,6,7,1,4,2,2,6,4,3,4,2,1,6,1,1,1,176,26.794937,4,-0.18764,0.31049,-0.212612,0.538487,-1.11186,-0.265449,41,1,162,28.577961,4,0.594162,-0.785196,0.454389,0.646985,0.593672,-0.324139,39
2,6,5,4,3,4,4,4,4,2,4,4,4,5,5,4,6,3,5,6,3,2,5,4,5,2,4,4,3,5,3,3,5,5,4,4,4,5,6,5,5,6,4,2,3,182,21.132713,3,-0.18764,-1.072721,0.009722,0.335768,-0.374031,0.113168,33,2,165,27.54821,3,-0.207068,0.595067,-0.303129,-0.476508,-0.69566,0.042891,31
