yeara,mktcap,nFIRM,comp,nCEO
2003,202930.8,31,7464.415,286
2004,142042.98,43,,
2005,141970.48,39,,
1991,123586.53,8,3706.9988,137
1992,99366.07,14,13129.032,17
1993,105805.96,16,17116.25,15
1994,110875.7,16,16214.313,25
1995,115483.82,18,22697.039,20
1996,143937.33,17,95183.828,4
1997,168412.8,15,14225.977,87
1998,242838.22,12,15124.537,135
1999,263977.09,21,44518.512,30
2000,214495.5,26,12279.104,191
2001,265181.25,20,19246.762,59
2002,197466.41,26,15287.98,84
2003,218059.83,25,18039.531,59
2004,219782.69,28,,
2005,178761.89,28,,
1991,4916.9961,418,13367.414,9
1992,5165.6133,428,1988.4352,463
1993,5172.2026,460,,
1994,6129.627,400,2350.7312,493
1995,6221.1621,444,,
1991,4498.6631,445,,
1992,4642.5273,471,,
1991,4119.2188,474,,
1993,5917.5474,407,,
2003,11499.85,465,8924.3271,225
2004,13142.523,463,,
1991,19082.76,134,4777.3076,82
1992,19708.762,131,3025.0894,254
1993,19444.91,147,4173.1841,211
1994,21271.512,133,4390.9785,224
1995,26156.391,136,4854.9336,288
1996,30154.619,135,5329.9634,313
1997,29759.66,157,5810.6743,315
1998,29393.246,173,6516.3652,353
1999,40821.551,172,11150.993,226
2000,45027.219,154,5968.8882,428
2001,41330.938,153,8830.0215,230
2002,39742.871,135,11856.388,129
2003,43693.098,152,6053.186,375
2004,41008.945,164,,
2005,32267.777,176,,
1991,12388.646,218,4294.0947,104
1992,13914.395,199,10442.997,29
1993,16286.634,180,18427.783,13
1994,16628.715,177,5023.4858,180
1995,19112.836,183,13573.273,54
1996,22655.943,180,12158.227,104
1997,30221.148,155,14354.561,86
1998,40382.688,128,22637.422,76
1999,55946.883,131,30904.588,57
2000,115992.08,60,,
2001,10362.484,465,,
2002,9873.4043,459,,
2003,13627.027,413,,
2004,15709.002,394,,
2005,18958.098,301,,
1991,5159.167,398,5633.6963,56
1992,5475.4624,413,3759.3699,169
1993,5319.1152,447,,
1994,6248.98,393,9043.2617,59
1995,7560.7485,382,4684.2129,302
1996,8254.2988,393,6747.0527,223
1997,11645.879,339,4625.8242,426
1998,17420.273,286,5155.1748,450
1999,24167.254,249,17668.217,136
2000,21585.094,288,,
2001,20230.906,282,11358.467,162
2002,14523.227,341,,
2003,15544.736,377,,
2004,15232.739,412,,
2005,13421.411,403,,
1991,24365.939,100,,
1992,22907.91,112,,
1993,35783.547,80,,
1994,31350.256,92,,
1995,33967.898,99,,
1996,27315.785,151,,
1997,31510.059,147,,
1998,15454.865,312,,
1999,35206.133,186,,
2000,31051.676,216,,
2001,25187.191,238,,
2002,22030.162,244,,
2003,25994.09,248,,
2004,28165.256,224,,
1991,5402.1436,387,1855.575,360
1992,6657.4434,346,,
1993,6198.4014,391,,
1994,8378.7627,306,3437.606,322
1995,7929.8745,370,7616.1255,149
1996,7869.6426,406,8652.1807,161
1997,15570.7,269,6112.9102,289
1998,15345.835,313,8729.9443,245
1999,11485.411,442,,
2003,11313.049,473,21887.621,39
2004,13834.421,452,,
2005,12583.626,424,,
1991,6079.6294,352,1963.1936,329
1992,6726.2446,341,,
1993,6853.3706,353,,
1994,7532.7422,334,2466.1641,470
1995,18911.262,185,3737.3264,411
1996,20348.893,193,5909.1675,263
1997,26929.777,172,5696.3604,327
1998,29985.143,168,5589.106,420
1999,31327.17,202,6319.6201,383
2000,31639.607,212,10251.589,249
2001,31499.09,198,6060.2148,375
2002,30834.842,186,6028.2002,344
2003,33365.613,188,,
2004,34547.805,181,,
2005,35014.824,155,,
1994,5726.2188,424,,
1998,12732.262,357,,
1999,12782.12,408,,
2000,11216.282,456,,
2001,10719.92,451,,
2002,10887.384,424,,
2003,10952.257,491,,
1991,50962.578,40,2110.0981,301
1992,45979.781,54,4132.2324,146
1993,40060.844,68,2992.9456,349
1994,48328.773,56,3600.28,302
1995,69537.758,43,3483.6311,438
1996,80226.836,39,13246.227,91
1997,102218.3,40,7657.9785,216
1998,129338.63,40,13392.406,151
1999,145349.69,46,30834.689,59
2000,158393.31,44,5222.7563,483
2001,189310.42,29,10040.393,190
2002,169543.38,34,9263.0811,182
2003,163624.75,37,12155.26,125
2004,192049.75,31,,
2005,177240.19,29,,
1993,4930.5132,478,2775.2695,387
1994,5147.9116,464,,
1995,6081.7515,454,,
1996,7187.8569,434,3636.0891,499
1997,8927.8545,424,4236.4814,465
1998,10415.999,413,7285.9063,310
1999,12275.563,424,7092.4238,352
2000,11448.04,450,8293.7871,312
2001,12362.432,403,13050.223,124
2002,13861.982,349,8780.1826,199
2003,16198.524,365,15919.329,76
2004,18581.418,340,,
2005,19314.32,293,,
2000,11473.246,448,5348.7427,472
2001,11683.217,421,7059.4375,316
1991,9089.6328,258,,
1992,8445.5967,282,,
1993,10024.794,257,,
1994,11886.58,233,,
1995,11369.83,277,,
1996,9299.085,357,,
1997,9854.6904,395,,
1998,8562,471,,
1991,23384.416,108,2665.9558,219
1992,25154.949,95,,
1993,23288.25,122,,
1999,13080.369,403,30000.951,61
2000,12803.963,420,24015.758,59
2001,11317.38,434,,
2002,11142.483,418,19561.49,49
2005,34145.934,160,,
1998,8665.5605,466,,
2000,10310.77,490,,
2001,11470.867,428,,
2002,10035.726,451,,
2003,11458.939,466,,
2004,12608.775,477,,
2005,20221.348,280,,
1992,5788.4585,387,,
1993,5849.9238,409,,
1994,4994.5059,474,,
1996,6294.9917,491,,
1997,7147.353,496,,
1991,13087.553,210,,
1992,15769.171,167,,
1993,18107.379,163,20659.104,12
1994,17156.723,170,14030.1,32
1995,19636.881,177,26105.521,16
1996,28194.619,148,34849.066,16
1997,42522.523,111,,
1998,49760.84,102,,
1991,20306.357,123,5177.5947,71
1992,20588.721,124,3999.4116,152
1993,17276.828,169,3510.8162,292
1994,17004.582,173,7294.3745,88
1995,21021.869,167,8340.3477,125
1996,18432.547,213,7612.1318,191
1997,25177.188,188,7469.3701,225
1998,18371.199,267,,
1999,16591.021,339,,
2000,14380.098,386,8134.1445,323
2001,20299.266,280,8921.4863,227
2002,21417.996,254,12372.084,122
2003,21942.918,284,13895.37,94
2004,23640.268,272,,
2005,22177.074,259,,
1991,4268.9512,466,,
1992,4836.2495,452,,
1993,4752.646,489,,
1994,4838.1597,483,,
1995,5378.4404,495,,
2000,10653.522,479,7014.8618,375
2001,11720.927,419,6864.5718,329
2002,10246.253,447,5610.0127,368
2004,14482.944,432,,
2005,17122.045,332,,
1991,12507.621,215,1351.392,490
1992,14780.604,184,2364.9661,350
1993,13224.522,214,,
1994,12826.248,217,4517.0254,216
1995,32898.84,102,5251.5454,256
1996,35620.688,114,5421.3008,307
1997,35628.648,128,4538.8848,434
1998,37596.238,144,9533.9707,222
1999,43183.422,158,8877.6738,284
2000,45428.504,152,20548.877,84
2001,38586.715,163,9959.9785,191
2002,31989.4,180,7008.1665,278
2003,36473.305,175,10300.131,166
2004,37881.246,171,,
2005,33627.328,164,,
1991,4520.0679,441,1425.7153,463
1992,5035.7017,436,,
1993,4898.6108,480,,
1991,14167.269,193,,
1992,15458.412,174,,
1993,19585.316,144,,
1994,19784.096,149,,
1995,19166.346,182,,
1996,46467.258,94,,
1997,12909.627,311,,
1998,14048.41,336,,
1999,13244.5,398,,
2000,11723.359,440,,
2001,10261.126,468,,
2004,15107.557,414,,
1991,9859.1592,252,,
1992,9333.2686,255,,
1993,10096.867,254,,
1994,10377.39,253,,
1995,12090.976,267,,
1996,13591.509,272,,
1997,17073.463,250,,
1998,23253.34,220,,
1999,30327.689,207,9579.4053,264
2000,34860.25,198,5241.8091,481
2001,30872.305,204,8050.6997,257
2002,25896.775,208,,
2003,27818.162,226,,
2004,26087.268,245,,
2005,25467.361,227,,
1991,13227.584,207,,
1992,16379.938,162,,
1993,19710.33,142,,
1994,21702.154,129,,
1995,20188.701,172,,
1996,15272.188,251,,
1997,11709.123,335,,
1998,11915.99,371,,
1999,13400.851,395,,
2000,11430.41,452,,
2001,10183.668,471,,
2002,9929.502,455,,
2003,12551.77,439,,
2004,12496.731,481,,
1991,8555.2236,274,,
1992,9822.2295,247,,
1993,14943.979,196,,
1994,17578,168,,
1995,16678.445,215,,
1996,13829.191,269,,
1997,12702.987,314,,
1998,13600.563,347,,
1999,36218.207,183,,
2000,22696.662,272,,
2001,17166.455,323,,
2002,13698.124,351,,
2003,19738.441,309,,
2004,16339.894,386,,
1999,11633.576,437,,
1991,13643.783,202,,
1992,12062.232,220,,
1993,7476.3237,324,,
1994,6709.5107,365,,
1995,5923.6187,464,,
1991,5620.8633,374,,
1992,4602.5366,472,,
1994,4720.7246,494,,
1995,5480.5166,490,,
1997,8475.8926,433,,
2003,11343.705,471,9738.126,186
2004,13264.037,461,,
2005,17484.424,327,,
2005,14608.375,376,,
1991,5505.1987,382,,
1992,5575.3008,405,,
1993,5572.7461,425,,
1994,5584.4702,434,,
1995,5971.8872,463,,
1991,32389.668,81,2432.7305,259
1992,24763.266,97,4598.8052,126
1993,25242.375,110,5580.5713,144
1994,31156.311,93,7341.9902,86
1995,43063.574,81,8100.3457,135
1996,51343.395,85,9021.6719,155
1997,89124.219,48,13172.462,103
1998,109214.32,50,14961.474,137
1999,81922.563,84,19198.195,123
2000,109577.23,68,9900.2109,263
2004,69015.117,91,,
2005,66704.766,84,,
1991,14737.563,180,2318.1812,271
1992,13054.174,207,4648.0381,122
1993,8791.2178,279,3417.3589,300
1994,8351.0742,308,2951.6445,388
1995,8432.6992,348,4044.4778,370
1996,7106.4302,441,13060.398,94
1997,9940.9619,391,4440.1763,445
1998,10416.652,412,7289.2925,308
2000,10570.761,482,,
2001,9700.2197,488,7346.2847,299
2003,11194.886,478,7172.9233,304
2004,12120.156,495,,
2005,11662.082,444,,
1991,7979.3267,293,,
1992,8259.8604,288,,
1993,10147.002,253,,
1994,9734.5244,264,,
1991,40153.902,59,2873.8711,196
1992,46472.957,50,3539.6672,191
1993,55044.699,47,3167.9307,329
1994,55292.402,50,2920.9573,393
1995,69875.438,42,3878.9951,395
1996,77394.57,42,4247.4072,417
1997,83863.07,50,6785.1563,254
1993,5796.8306,410,2551.9861,428
1991,4562.2271,438,1329.8951,496
1992,4303.1548,494,,
1991,8216.5566,282,2147.3489,294
1992,9450.9209,254,2675.749,300
1993,12216.567,223,,
1995,30330.18,110,5452.7925,245
1996,43749.926,98,5687.5708,281
1997,44054.637,108,6080.9268,292
1998,40412.598,127,4926.5576,474
1999,32533.85,194,9852.585,257
2000,37085.449,186,12488.278,187
2001,39853.625,159,18555.795,64
2002,44341.305,126,20272.137,46
2003,39856.582,168,12437.896,118
2004,39289.199,166,,
2005,42247.73,133,,
1991,48434.645,43,2006.8054,320
1992,49528.57,45,2196.3838,405
1993,51419.301,54,,
1994,55455.473,49,2419.9219,477
1995,71715.695,38,,
1996,74361.766,45,,
1997,75583.117,61,,
1998,74391.063,77,,
1999,67260.641,104,,
2000,69898.711,104,,
2001,74421.148,85,,
2002,64814.941,88,,
2003,71490.281,91,,
2004,68310.352,96,,
1998,8130.5278,490,,
2000,14060.967,394,,
2001,12824.493,394,,
2002,13256.629,363,,
2003,14643.696,393,,
2004,13464.502,458,,
2005,12856.497,415,,
1992,5072.7388,434,13740.657,14
1993,7829.8252,304,7015.9009,96
1994,7461.1616,337,,
1992,4576.4902,475,13807.718,13
1993,5855.4722,408,5912.7852,122
1993,6576.5986,373,,
1994,8308.9268,311,,
1995,7409.5781,389,3952.1257,379
1996,8374.6914,390,3700.6399,486
1997,11905.272,330,5445.2754,353
1998,24475.48,208,,
1999,21641.174,272,,
2000,26113.705,242,10023.661,259
2001,41498.578,148,7683.8584,282
2002,32687.055,174,13628.484,103
2003,47241.777,144,7606.9424,281
2004,48624.219,143,,
2005,53010.129,115,,
1991,15828.067,163,4902.3457,78
1992,18974.857,137,6860.2964,68
1993,23670.797,117,5893.5054,126
1994,20679.506,138,3852.1858,275
1995,28514.613,122,7839.4512,142
1996,35172.758,115,,
1997,44648.98,107,,
1991,4233.8916,468,,
1998,8002.4604,495,,
2002,9635.9678,467,,
2003,11900.204,457,,
2004,12724.039,476,,
2005,11845.051,438,,
1991,3897.0457,489,,
1993,4655.6055,498,,
1992,4462.8311,484,,
1991,15724.555,166,2160.4946,292
1992,13426.232,204,3106.4722,236
1993,12762.619,219,3953.2634,247
1994,12431.713,222,4444.9771,220
1995,12777.914,262,3311.0811,463
1996,13316.244,277,4123.8774,427
1997,16114.652,263,5642.5269,336
1998,18735.354,262,6562.3823,350
1999,17479.396,323,12257.196,198
2000,17587.381,332,19095.021,98
2001,18724.604,299,4675.0972,496
2002,17163.465,306,5907.9424,352
2003,20873.988,290,6529.7842,332
2004,24563.08,264,,
2005,33112.605,171,,
1991,13291.659,206,,
1992,9751.6289,250,,
1993,7561.686,317,,
1994,8359.2236,307,,
1991,8164.8677,286,,
1992,8487.1504,280,,
1993,4637.3755,500,,
1996,7237.9351,433,,
1997,9241.4492,416,,
1998,10340.952,415,,
1991,8512.7627,275,4139.6772,114
1992,10036.387,244,4952.9282,110
1993,9148.3086,274,3648.4841,276
1994,8926.9209,289,4741.3965,201
1995,9699.4395,318,5434.4395,246
1996,10844.411,326,7303.7988,204
1997,18184.262,239,10972.36,140
1998,24074.582,213,9690.9834,216
1999,35151.453,187,14180.898,172
2000,40836.16,172,13551.028,161
2001,36715.547,179,16611.691,77
2002,32352.443,179,19544.281,50
2003,32762.143,193,8201.54,254
2004,28060.027,227,,
2005,26633.611,216,,
1991,5675.4585,373,2692.251,217
1992,5370.8008,417,4429.5044,131
1993,11458.537,232,,
1994,6384.9526,384,,
1995,7720.562,379,9902.0645,91
1996,8108.5117,398,11260.713,116
1997,10947.751,359,7568.2651,219
1998,12511.127,361,17618.207,111
1999,14911.693,372,10737.673,233
2000,15586.355,365,17896.955,109
2001,15801.14,342,8891.6064,228
2002,16183.836,317,8977.9883,193
2003,17729.543,335,12740.409,109
2004,21020.174,301,,
2005,17626.711,322,,
1991,3893.5774,490,4156.8203,112
1991,73186.672,25,,
1992,78281.672,21,,
1993,91232.859,21,,
1994,96821.992,20,,
1995,84818.844,29,,
1996,78096.742,41,,
1997,73454.742,64,,
1998,79381.445,71,,
1999,104520.62,69,,
2000,73246.945,100,,
2001,57321.66,103,,
2002,56558.973,101,,
2003,69687.898,95,,
2004,68968.063,92,,
1991,14685.299,181,2481.0618,248
1992,15952.164,164,3460.9233,201
1993,16520.15,176,3239.6848,323
1994,15181.353,190,3150.8157,354
1995,17625.029,201,8583.8359,120
1996,17635.295,223,3666.2642,490
1997,18670.6,234,10066.647,147
1998,20405.145,246,,
1999,16806.398,335,,
2000,18746.723,320,,
2001,17530.373,314,14209.738,106
2002,12573.617,381,,
2003,15647.803,375,,
2004,18153.523,348,,
1998,7891.1455,499,,
1991,4051.4089,478,2614.1433,225
1992,4686.7915,466,2418.7927,341
1994,6117.0132,402,2978.3799,383
1991,22999.918,110,5002.2109,75
1992,26827.203,93,5242.5527,104
1993,28864.449,99,7084.0596,91
1994,29466.744,99,8926.9268,60
1995,41729.145,84,8758.6084,116
1996,41953.145,103,7982.4019,180
1997,43042.805,109,8513.8174,194
1998,63567.145,84,11619.928,174
1999,66032.391,107,9454.5,267
2000,55760.801,118,10134.389,252
2001,44760.129,139,8272.2461,249
2002,31749.043,183,7522.6519,242
2003,41260.086,160,7020.623,311
2004,49100.152,142,,
2005,50360.93,121,,
1991,16314.063,155,,
1992,14643.7,189,,
1993,14506.784,200,,
1994,15366.429,187,5278.0049,164
1995,19228.439,180,,
1996,23811.773,167,,
1991,4923.207,417,1974.9028,326
1992,5215.3818,424,2128.8481,419
1993,6204.0928,390,3399.1523,305
1994,5858.2451,416,3498.1968,311
1995,6830.5103,416,4136.9653,357
1996,7161.9473,437,7520.2695,196
1997,9969.6367,389,4525.5566,436
1998,12591.702,359,6419.5737,359
1999,14634.455,376,6158.3218,393
2000,14397.141,385,5713.5356,442
2001,14550.323,363,6319.3452,358
2002,13687.461,352,5725.6733,359
2003,15003.231,389,10674.454,155
2004,18352.121,346,,
2005,19807.748,284,,
1991,4264.7813,467,2543.8137,237
1992,4772.7041,455,2255.533,384
1993,5720.0693,415,3315.4893,312
1994,4716.8335,496,3107.75,363
1996,7290.4004,429,11745.914,110
1997,10044.88,386,165135.64,2
1998,25622.359,195,39086.199,28
1999,13035.419,404,10476.731,243
2000,15633.545,364,21027.354,82
2001,19688.67,288,17066.906,73
2002,16397.078,316,21420.924,39
2003,18635.277,318,17977.023,60
2004,22730.367,282,,
2005,27575.344,207,,
1991,5058.5708,404,,
1992,5217.7935,423,,
1993,5588.5098,422,2881.9431,364
1994,5693.1045,425,3039.3118,373
2003,12418.093,442,4946.8784,474
2004,13940.106,447,,
2005,19393.48,290,,
1991,5023.5591,409,1938.8617,334
1992,4885.0576,447,2542.4102,318
1993,5575.9814,424,2939.4336,355
1994,10156.219,255,3278.5029,337
1995,14240.497,243,3249.2874,473
1996,17956.264,218,16565.656,66
1997,26806.016,173,4745.02,415
1998,44867.625,114,7690.1138,287
1999,64748.531,110,9645.709,260
2000,55473.77,120,7565.2651,351
2001,57175.52,105,9095.0703,221
2002,59761.051,95,8526.6436,208
2003,61761.563,105,8945.9063,223
2004,63673.375,107,,
1991,7773.6021,296,2210.926,283
1992,8908.9648,270,2364.7578,351
1993,7061.1885,345,,
1994,6145.3872,399,4777.0205,198
1995,6147.2222,451,,
1996,6686.2998,468,,
1999,19899.586,286,12333.098,197
2000,27399.199,235,8471.9834,300
2001,15271.166,345,10931.663,171
2003,17723.217,336,14329.623,88
2004,23573.504,273,,
2005,25487.535,226,,
1991,81290.969,17,14974.773,8
1992,64415.156,32,4019.5903,150
1993,59568.926,40,3538.3647,286
1994,63206.684,38,4333.3398,232
1995,99167.305,24,5250.6655,257
1996,114006.58,25,7930.9624,182
1997,144869.77,22,9349.5264,172
1998,198370.78,17,18306.986,105
1999,181401.3,33,12478.39,193
2000,239881.97,22,17322.135,123
2001,156329.77,40,12370.836,138
2002,148365,36,10523.733,149
2003,119027.62,56,6010.1899,380
2004,87169.953,75,,
2005,84795.234,70,,
1991,104821.4,11,10591.93,11
1992,125210.05,7,11419.845,24
1993,176145.09,5,8578.4668,69
1994,182628.06,5,8848.2197,62
1995,195324.13,6,11948.271,69
1996,234328.83,7,11915.704,106
1997,323833,7,13374.092,98
1998,325235.78,8,34321.863,31
1999,353696.06,12,36332.254,49
2000,444083.78,11,17669.998,114
2001,432895.38,13,14870.487,95
2002,439525.69,12,27009.854,18
2003,491401.31,11,29454.752,20
2004,615227.06,9,,
2005,632062.56,10,,
1994,5016.4561,472,2901.3081,396
1995,18079.549,195,4529.915,318
1996,6224.9653,496,7949.5386,181
1997,11666.346,337,,
1999,23254.264,263,10249.576,248
2000,49242.773,137,14714.729,144
2001,23159.574,251,6047.4214,378
2002,11180.821,416,7482.5308,246
1991,16251.94,157,1410.2288,469
1992,16350.114,163,,
1993,23541.762,120,,
1994,19191.713,153,2514.2922,462
1995,20279.498,170,,
1996,20233.98,194,,
1997,24210.352,195,,
1998,20560.824,245,,
1999,19118.133,293,6055.7671,402
2000,24604.516,256,12630.248,183
2001,22961.594,255,7518.0913,290
2002,23994.371,236,6896.0981,286
2003,26478.785,241,9491.8174,200
2004,27133.461,236,,
2005,28610.586,200,,
1991,30345.891,84,2985.833,185
1992,31714.289,80,3037.0095,252
1993,32751.602,90,4086.3589,222
1994,32210.289,87,3872.6709,272
1995,38000.027,90,4730.6401,296
1996,44303.863,97,6272.5645,250
1997,42379.34,113,7549.103,221
1998,37949.797,142,8139.9102,265
1999,47307.398,147,8537.3691,296
2000,55357.242,121,10428.747,241
2001,53034.625,116,11497.71,156
2002,54806.129,108,11413.015,136
2003,71457.836,92,13497.438,102
2004,66479.984,99,,
2005,60011.551,99,,
1991,78941.289,19,,
1992,84414.555,19,,
1993,87753.039,23,,
1994,96796.227,21,,
1995,83800.336,30,,
1996,71570.422,51,,
1997,62618.488,80,,
1998,63294.352,85,,
1999,70010.336,99,,
2000,54266.063,125,,
2001,51369.051,119,,
2002,53344.906,109,,
2003,65013.828,100,,
2004,67447.969,97,,
1991,57031.941,36,4508.8374,91
1992,53543.344,41,5186.2388,106
1993,59269.113,41,3501.8242,294
1994,61370.332,40,3666.6545,293
1995,71594.555,39,4413.4932,330
1996,77123.289,43,6712.8687,229
1997,81170.719,52,8225.3154,202
1998,92393.797,59,,
1991,15874.158,162,1704.2461,387
1992,14998.879,181,2497.8831,326
1993,16113.079,183,9736.9053,54
1994,15224.302,189,3109.8999,362
1995,22733.59,157,20327.83,28
1996,32144.633,125,3638.3015,497
1997,33092.824,137,,
2000,93817.305,83,15519.199,138
2001,63946.668,96,19132.973,61
2002,61947.551,93,,
1991,15602.235,167,3643.4099,140
1992,22396.123,114,1975.6472,467
1993,36611.055,78,6495.5815,105
1994,46571.82,58,6305.2402,115
1995,48308.109,72,6201.8491,211
1996,50631.184,89,4877.9839,350
1997,48889.93,99,7566.2104,220
1998,53925.27,96,26025.879,54
1999,110083.7,64,15692.579,156
2000,66598.797,108,7752.6455,341
2001,52307.117,117,9549.0137,206
2002,38335.039,142,9991.2354,164
2003,49058.219,131,29643.561,19
2004,54684.711,126,,
2005,67321.281,81,,
2005,11000.258,468,,
1991,41732.695,57,,
1992,46063.41,52,,
1993,54130.98,50,,
1994,60726.914,41,,
1995,58157.902,54,,
1996,51508.539,84,,
1997,47757.496,101,,
1998,56333.293,93,,
1999,85440.336,81,,
2000,57308.746,116,,
2001,46132.273,137,,
2002,35692.668,162,,
2003,45044,150,,
2004,37582.063,172,,
1994,11079.899,240,,
1995,14241.424,242,5063.4155,270
1996,12029.864,299,3925.3767,457
1997,13759.78,294,,
1998,12116.664,367,6456.8667,356
1999,11485.112,443,,
2000,11796.207,438,,
2001,13397.333,379,,
2002,15400.852,327,4295.4551,487
2003,16091.711,367,,
2004,16573.17,381,,
2005,16731.451,342,,
1991,4277.228,463,2931.196,188
1991,4081.8325,476,,
1992,4263.4307,496,,
1991,5483.0762,383,,
1992,4260.0601,497,10300.903,30
1993,5625.2275,421,5076.5679,161
1994,9921.4756,261,2422.6221,476
1995,10796.574,288,12565.565,61
1996,17581.467,224,,
1997,20561.225,218,20667.135,44
1998,17705.787,280,,
1999,16998.814,331,27366.381,72
2000,22167.494,281,26278.967,49
2001,31025.824,203,,
2002,14685.345,339,8529.6543,207
2003,14480.024,396,7247.1216,299
2004,12067.314,496,,
2005,10861.346,472,,
1999,10506.802,475,11904.655,207
1991,5313.3613,393,,
1992,5760.5176,390,,
1993,5773.854,412,,
1994,5361.6128,452,,
1995,5809.874,474,,
1991,5421.5176,385,,
1992,5853.7568,381,,
1993,5696.4756,418,,
1993,4779.8921,487,2785.7737,385
1997,8503.8877,431,,
1998,8363.1426,483,4886.9185,478
1999,10672.449,468,5844.9189,420
2002,8879.7051,497,,
1991,3847.1523,495,1483.2058,444
1992,4517.5522,478,,
1993,4701.3228,493,,
1994,5163.4063,462,,
1995,6193.4756,446,,
1996,6893.9639,455,,
1997,9335.0967,413,,
1998,9439.5059,447,,
1999,12383.433,422,,
2000,10785.169,473,10066.796,255
2001,11830.887,416,,
2002,12891.118,375,,
2003,11017.929,484,,
2005,10106.071,497,,
1991,3881.418,492,5084.6978,73
2002,15116.615,332,5939.7622,350
2003,23057.037,272,,
2004,22130.953,291,,
2005,25947.236,221,,
1991,9577.4336,256,,
1992,9768.0098,248,,
1993,9895.7998,260,,
1994,9074.5859,287,,
1991,5795.2134,369,,
1992,6958.1089,327,,
1993,5582.0747,423,2409.0566,457
1994,7528.9258,335,2758.8325,417
1995,17300.781,207,,
1996,20067.123,197,,
1994,257849.56,3,,
1995,232347.67,5,,
2002,163785.94,35,,
2003,199177.25,33,,
2004,163981.69,36,,
2005,10404.141,490,,
2005,15645.375,353,,
1991,4836.7695,423,,
1992,4826.4834,453,,
1991,14133.767,194,1430.0853,462
1992,14015.738,196,2306.0205,370
1993,15312.511,192,3306.063,313
1994,13036.107,215,5286,163
1995,15220.237,229,6119.8237,216
1996,16020.563,240,5537.8179,297
1997,21934.279,206,6124.019,288
1998,22531.318,226,5051.5259,462
1999,18878.457,302,,
2000,15519.759,369,5091.1216,500
2001,17206.479,320,7701.5957,281
2002,17489.43,303,9301.3564,180
2003,18482.643,323,10432.736,161
2004,22641.834,284,,
2005,25266.662,231,,
1991,8471.9102,276,,
1992,12234.924,219,,
1993,10731.949,239,,
1994,9982.3428,259,,
1995,9843.6094,312,,
1996,8637.2217,383,,
1997,8248.8711,443,,
1998,8900.6289,461,,
2005,10570.157,485,,
1991,4470.9595,448,,
1992,4512.5166,479,,
1993,4984.6748,473,,
2000,20796.154,298,,
2001,16565.717,331,,
2002,15200.95,329,7241.1445,264
2003,15403.106,380,9431.5332,203
2004,15307.129,409,,
2005,15270.78,362,,
1991,6084.8276,351,,
1992,6126.5469,366,,
1993,6625.4966,371,,
1994,6815.7964,360,,
1995,7283.6675,394,,
1996,7314.1377,427,,
1997,8726.167,427,,
1998,8641.9785,468,,
2000,24318.014,259,,
2001,29143.984,211,,
2002,24661.969,224,,
2003,18624.859,319,,
2004,18623.934,337,,
2005,19184.045,294,,
1991,19624.229,131,4379.2441,98
1992,18227.65,141,2624.655,306
1993,15820.138,187,3383.3411,307
1994,15122.896,191,6123.9829,122
1995,17833.986,199,3894.4578,391
1996,23842.49,166,3723.2278,482
1997,32080.734,141,8039.8301,208
1998,43367.293,119,23900.975,68
1999,152916.73,41,39842.336,39
2000,111732.19,63,,
2001,38253.723,167,,
2002,17278.234,305,,
2003,26856.211,237,,
2004,25370.82,251,,
2005,27204.574,210,,
1994,7544.0742,333,3114.3391,361
1995,7741.7437,378,4326.4238,340
1996,12814.27,286,5215.4346,320
1997,15423.509,272,4611.7466,428
1998,12148.325,366,,
1999,9945.208,495,5992.9082,406
2000,11407.813,454,10269.943,248
2001,23212.607,250,13744.785,111
2002,43821.348,127,9947.4805,166
2003,32010.984,201,10074.048,175
2004,32966.023,189,,
2005,33600.617,165,,
1991,10176.233,245,,
1992,10484.857,237,,
1993,11428.182,234,,
1994,11633.38,235,2623.3064,446
1995,16949.455,211,,
1996,18591.041,212,3985.4238,442
1997,23619.135,200,7308.0635,232
1998,25280.049,199,6652.8408,348
1999,27021.754,228,,
1991,6827.2661,327,,
1992,6910.251,332,,
1993,7237.5278,336,,
1994,8650.1211,298,,
1995,8304.3945,353,,
1996,8934.7334,369,,
1997,9249.6172,415,,
1991,5083.4761,402,,
1992,4977.9775,440,,
1993,5382.4067,444,,
1994,4950.2695,477,,
1995,6201.9897,445,,
1996,8001.0356,402,,
1997,11599.571,342,,
1998,10525.715,405,,
1999,10161.087,485,,
2000,13354.051,411,,
2001,14756.309,356,,
2002,10847.369,426,,
2003,14940.132,390,,
2004,18031.623,351,,
1992,4730.3491,458,,
1993,6210.647,388,,
1994,6262.4336,389,,
1995,6369.8857,435,,
2005,11518.154,452,,
1991,37552.887,66,2533.8987,240
1992,37080.133,69,2199.2397,404
1993,38634.488,74,3318.3057,311
1994,37325.141,74,2796.5325,412
1995,45428.582,76,3684.1272,417
1996,42960.438,100,,
1991,20107.713,127,7046.6372,38
1992,20330.422,127,7304.5337,61
1993,18722.846,157,7149.6699,90
1994,20376.398,145,7673.1704,78
1995,20305.291,169,8099.2236,136
1996,20202.613,195,111519.86,3
1997,22160.545,202,3986.3804,496
1998,17802.936,279,10267.937,197
1999,17945.775,317,9138.2637,275
2000,22332.111,277,16713.324,127
2001,20545.627,279,24695.279,35
2002,19194.342,281,28195.143,15
2003,24069.586,259,35688.227,11
2004,30015.084,207,,
2005,37672.008,145,,
1991,9453.8652,257,,
1992,9662.4678,251,,
1993,9444.8604,268,,
1994,8531.0205,300,,
1995,8934.2451,335,,
