"educv","heightv","BMIv","healthv","consv","extrav","agreev","emov","autov","riskyv"
3,170,22.145329,4,-0.207068,-0.237353,-0.041612,-0.191095,0.121873,0.10573
3,180,19.444445,4,0.078951,0.330818,0.75509,0.727725,0.109821,-0.537432
3,176,20.983988,3,-0.876459,0.472616,0.493573,0.29334,0.800365,0.218477
3,172,21.971336,3,0.61359,0.614413,0.009722,0.727725,-0.374031,0.557712
2,174,25.432686,4,0.635931,1.447815,-1.345477,-1.35262,-1.247162,0.060582
2,173,26.729927,3,0.192819,1.296836,-0.251796,-0.312874,-0.374031,-0.325008
3,167,21.513859,3,-0.208525,-0.767815,0.977424,0.475241,0.84765,0.065991
2,178,23.671253,4,0.61359,0.75621,-0.513313,-0.441291,-0.147851,0.456634
2,160,23.828125,4,0.61359,-0.237353,0.235776,-0.045087,0.121873,0.00821
2,182,25.359257,3,-0.640466,0.595067,-0.259731,0.61383,0.006937,0.72283
2,165,26.446281,3,0.059523,-0.219973,-0.545054,-0.99331,-0.683607,0.277853
2,172,21.633316,3,0.222689,-0.078175,0.598665,0.017218,0.766539,0.55717
2,177,20.747551,3,0.367883,-1.336969,0.184443,-0.325907,0.109821,0.447635
2,175,17.306122,3,0.098379,-0.238336,0.774682,0.760654,0.177472,0.161674
2,178,21.461937,4,0.635931,0.59605,0.44224,-0.223601,1.478856,0.123256
2,176,23.889463,1,0.367155,0.433433,-0.49,-0.993464,-0.857882,-0.194223
1,170,20.069204,4,-0.62031,-1.203862,0.200314,-0.273723,0.336,-0.256042
2,167,20.79673,3,0.634474,-0.767815,-0.00987,0.072277,0.487048,-0.009277
2,175,22.204082,3,0.61359,-0.199644,0.945682,-0.054866,1.665183,0.023167
2,173,22.720438,4,0.059523,0.065587,-0.283537,-0.333792,-0.628009,-0.50605
2,175,23.836735,3,-0.208525,0.045259,-0.006149,-0.41531,-0.374031,0.33487
2,160,19.53125,3,-0.340363,0.177874,-0.788841,-0.04318,-0.80457,0.06441
2,174,21.799444,4,0.634474,1.163238,0.735498,0.218237,0.661323,0.458944
2,162,20.95717,3,1.169113,0.027879,-0.826164,-0.967506,-0.69566,0.374088
2,165,20.56933,2,-0.876459,-0.229645,0.089147,-0.44198,-0.005116,-0.644042
3,177,25.535446,4,0.06778,0.178366,-0.658082,0.160018,0.167752,0.154174
2,157,25.964542,3,-0.208525,0.026896,-0.822443,-0.842521,-0.374031,0.083977
1,178,25.249338,3,-0.350806,-0.380133,-0.182166,-0.449308,0.171445,0.269746
1,168,19.84127,3,-0.732721,0.595067,-0.40636,-0.343107,-0.219242,0.006459
2,178,28.405504,2,0.901065,-0.20161,0.961553,0.112499,0.704868,0.246528
3,178,21.14632,3,0.881637,-0.199644,-0.560925,-0.429019,-0.318432,0.209554
1,165,26.078972,2,-0.513971,0.349181,0.45811,-1.114037,1.478856,-0.272221
3,167,26.533758,3,-0.343277,0.06313,-0.295194,0.603436,0.375852,0.289875
3,163,22.582708,4,-0.331378,-0.095556,-0.154639,0.019229,0.183498,-0.783369
2,167,26.892323,4,-0.587527,0.45327,-0.673953,-0.453167,-1.030749,0.097375
2,172,22.985397,3,-1.316658,-1.175335,0.739219,-0.957089,-0.100566,-1.928854
2,168,18.424036,3,-0.207068,0.311473,-0.02202,-0.219719,-0.374031,0.252505
2,174,22.460033,4,0.348455,0.633758,-0.560925,-0.746938,-0.937585,0.066634
3,178,18.937002,3,0.767041,-0.219973,0.12461,-0.515823,-0.020862,0.439413
2,168,22.321428,3,-0.743163,0.452287,-0.398425,-0.570613,-0.374031,-1.091778
1,160,21.875,3,0.059523,0.046241,-0.061203,-0.997192,0.109821,-4.286798
3,170,20.761246,3,1.169113,0.652121,0.473981,0.474414,1.224878,0.26349
2,163,24.088223,3,0.883094,-1.034029,0.271239,-0.059647,-0.881987,0.411947
2,172,24.337481,3,0.090122,0.632284,0.580934,0.253862,0.998698,-0.402792
2,173,22.720438,4,0.089393,0.339017,-0.039751,-0.793061,-0.479247,0.26235
2,169,24.158817,3,-0.207068,0.879644,0.251647,0.203394,-0.441682,0.213489
2,165,20.56933,3,0.634474,0.311473,-0.509592,-0.045087,-0.361978,-0.024794
2,175,22.204082,3,-0.741707,0.064604,-0.287258,-0.465903,0.177472,0.424676
2,178,24.618103,3,0.078951,0.311473,-0.248075,0.585195,-1.433489,0.222871
2,165,23.875114,2,1.169841,0.614413,-0.664157,-1.324409,-0.798543,0.210657
3,165,19.834711,3,-0.208525,-0.096538,0.616396,-0.245102,0.264609,0.09667
3,170,17.99308,4,-0.732721,0.064604,0.216185,-0.05767,0.518587,0.118586
2,177,18.513199,3,0.345542,-0.787161,0.251647,0.218452,0.43145,-0.066901
1,168,19.84127,2,-0.743163,-0.239318,-0.00987,-0.323327,-0.076507,0.214041
2,168,20.549887,3,-0.18764,1.145858,0.477702,0.973909,0.419397,0.173864
1,158,25.636917,2,-0.054345,-0.36177,-0.519388,-0.367106,-0.213216,0.12452
2,164,26.397978,3,-0.743163,-0.238336,-0.198037,-0.607888,-0.011142,-1.389316
3,163,20.700817,4,0.211518,0.329836,-0.017806,0.29709,-0.060714,0.147238
1,173,22.720438,2,0.883094,0.028861,-0.061203,0.204509,-1.271268,0.571703
2,167,19.362473,3,-0.218967,0.45327,0.218045,-0.20903,-0.138131,0.009266
2,172,27.041645,1,1.169113,-0.256698,0.212463,-0.294703,0.153366,0.239831
1,175,19.591837,4,0.080408,1.163238,0.235776,0.314391,-0.187703,0.101883
2,174,21.799444,2,0.634474,-1.052392,-0.267666,-0.678802,-0.120052,-0.087874
1,165,22.773186,2,-0.075229,-0.513731,-0.39049,0.095514,-0.655808,0.217932
2,165,27.54821,4,0.09765,1.315199,-0.94948,-0.647695,-0.40557,-0.339546
2,163,24.088223,3,1.035089,0.736864,-0.386769,-0.575916,0.328566,0.294629
2,168,20.904196,3,-0.475116,-0.503567,-0.303129,-0.469194,-0.132105,0.173864
1,165,25.344353,3,-0.772305,0.330327,0.505229,-0.052569,0.276662,-1.931136
2,170,22.49135,3,0.367883,-0.788144,-0.251796,-0.554716,-0.374031,0.411417
3,175,25.469387,0,-1.008298,1.438142,1.215135,-0.798769,0.74846,-0.087668
2,176,22.598141,4,-0.18764,1.163238,1.016607,0.650873,0.23681,-0.14321
2,166,20.322252,3,0.367883,0.312455,-0.414296,0.18301,-0.683607,0.025069
2,158,22.83288,4,0.080408,0.614413,-0.303129,-0.073356,-0.132105,0.273832
3,166,21.410946,3,0.490008,-0.087357,-0.128972,-0.04872,-0.120052,0.268725
2,163,21.829952,3,0.841325,0.026896,-2.090846,-1.751514,-1.786611,0.048715
2,172,23.661438,4,0.633017,0.878661,-0.061203,-0.835986,0.109821,-0.258619
1,165,23.140495,3,-0.98887,1.163238,-1.048497,-0.07359,0.201577,0.62019
1,176,20.983988,3,0.62476,0.462451,-0.658082,-1.078651,-0.848162,-3.434109
1,166,25.402817,0,0.078951,0.367544,-0.025741,0.20827,0.121873,0.451999
1,172,25.351542,3,0.901065,0.329836,0.739219,0.20827,0.109821,-0.270894
1,169,21.007668,4,-0.073044,0.60474,-0.685609,-0.185839,-0.407856,0.372324
2,171,21.887075,3,0.345542,0.064604,0.719628,0.05638,1.478856,0.300541
2,163,24.840981,4,-0.177926,-0.512748,-0.695405,-0.103592,-0.259094,-0.03231
3,174,20.808561,4,-0.207068,0.879644,0.513164,0.467712,0.121873,-1.426174
2,180,21.604939,3,-0.607683,0.216566,0.337147,0.121642,0.512561,-0.07043
2,178,24.93372,4,-0.731264,-1.327296,0.782617,-0.629518,-0.286893,0.51925
1,172,18.929152,3,-0.473659,-0.086866,-0.40636,-0.500497,-0.27484,0.092336
2,175,20.571428,4,0.212975,0.320163,-0.398425,-0.26107,-0.092253,-0.006249
3,172,20.957273,3,-1.277802,0.064604,0.235776,-0.547469,-0.69566,0.29918
2,175,20.571428,4,-0.60914,0.471633,-0.562786,-0.604823,-0.253068,0.271669
2,163,24.088223,4,-1.277802,0.065587,1.258533,0.848285,0.296148,0.142063
2,175,22.204082,3,-0.178655,0.18853,-0.537119,-0.339131,-0.473221,0.332804
2,164,20.449137,3,-0.34182,0.310981,-0.443684,-0.374054,0.143646,-0.019186
