Cité;2326158;2.3467203742;48.8551005858;2297;2493
Les Halles;17991605;2.3458362673;48.8621947212;2367;2274
Etienne Marcel;2897367;2.34866984;48.863494659;2364;2188
Strasbourg-Saint-Denis;9967686;2.3540971057;48.8691997058;2623;1914
Château d'Eau;3967264;2.3554703688;48.8725890109;2669;1716
Gare de l'Est (Verdun);20284835;2.3579186772;48.8760613055;2789;1601
Gare du Nord;51316194;2.3547030784;48.8799654433;2761;1427
Château Rouge;1629996;2.3498266334;48.8871760671;2444;1210
Marcadet-Poissonniers;6388263;2.3498370716;48.8908769929;2444;1120
Simplon;2994372;2.3470910653;48.8946326892;2381;1020
Porte de Clignancourt;8663554;2.3447788774;48.8972870604;2313;952
Bobigny-Pablo-Picasso;7461452;2.4496207174;48.9069699443;3981;1011
Bobigny-Pantin (Raymond Queneau);2438115;2.4248018777;48.8952689905;3866;1125
Eglise de Pantin;3633009;2.4132856803;48.8931139817;3788;1203
Hoche;5040191;2.4031974138;48.8913165639;3677;1267
Porte de Pantin;4749922;2.391468614;48.8883327365;3521;1266
Ourcq;3930609;2.386029588;48.8869750227;3360;1266
Laumière;4582224;2.3795955532;48.8850422338;3237;1343
Jacques-Bonsergent;2667291;2.3605378839;48.870974904;2845;1806
Oberkampf;3133981;2.3686742364;48.8645156236;3006;2066
Richard-Lenoir;1999612;2.3720977805;48.8608927535;3078;2312
Bréguet-Sabin;2085448;2.3709371333;48.8565162146;2984;2407
Quai de la Rapée;1197619;2.3670356341;48.8457951983;2889;2855
Gare d'Austerlitz;9210572;2.3643130482;48.8431055835;2882;3071
Saint-Marcel;2101575;2.3614087791;48.8395141858;2890;3185
Campo-Formio;1280674;2.3581531411;48.8357759722;2819;3278
Place d'Italie;11542761;2.3557213734;48.8314061536;2715;3435
Kléber;1203757;2.2930791542;48.871094813;975;2031
Boissière;1984327;2.2904738454;48.8670270457;843;2166
Trocadéro;9516364;2.287019844;48.8629708358;831;2351
Passy;3366482;2.2858650114;48.8576333212;843;2582
Bir-Hakeim (Grenelle);7094930;2.2887828558;48.8543331586;971;2707
Dupleix;3347548;2.2927695871;48.8508056366;1079;2814
La Motte-Picquet-Grenelle;8248998;2.2979492991;48.8491605024;1232;2923
Cambronne;2565239;2.3018078042;48.8474563363;1439;2992
Sèvres-Lecourbe;1992343;2.3101839037;48.84513077;1550;3105
Pasteur;4655655;2.312656445;48.8429383503;1708;3171
Edgar-Quinet;2081259;2.3261713916;48.8403339878;2021;3171
Saint-Jacques;2030314;2.3362200154;48.8332522884;2363;3378
Glacière;4827308;2.3439388943;48.8313647071;2477;3436
Corvisart;2538729;2.3494383273;48.8296116849;2615;3436
Nationale;2614523;2.3620454618;48.8327104551;2874;3435
Chevaleret;3055302;2.3671652407;48.8344079355;3011;3435
Quai de la Gare;3366405;2.3737838849;48.8373989542;3153;3373
Bercy;5359847;2.3795829688;48.8404280893;3301;3223
