"educm","heightm","BMIm","healthm","consm","extram","agreem","emom","autom","riskym"
2,178,21.777554,3,-0.207068,-0.787161,0.216185,0.190184,0.109821,0.347544
3,181,24.419279,4,-0.209253,0.056406,-0.1565,0.011536,0.022683,0.564305
3,178,22.09317,4,0.080408,0.065587,0.719628,0.856592,0.407344,0.013984
3,186,26.014568,4,-1.442424,-0.918794,-0.479146,-0.066227,0.611751,0.248469
3,187,23.449341,3,-0.433346,-0.502584,0.774682,1.112603,-0.386083,0.378462
2,186,24.280264,4,-0.053616,0.59605,-0.232204,0.720646,-0.869934,0.220625
2,170,25.259516,3,0.633017,-0.21899,-0.006149,-0.027189,-0.318432,0.204625
3,191,19.18807,3,0.059523,-0.485204,-0.493721,0.18211,-0.671554,0.218936
2,176,22.920971,3,0.069237,0.746046,0.087287,0.061657,0.369825,0.312637
2,197,21.386791,3,0.078951,0.311473,0.75509,0.705992,0.419397,0.463679
2,185,22.498175,2,-0.465402,0.319671,-0.545054,-0.255139,-0.120052,0.806521
2,178,25.249338,4,0.077494,0.046241,0.271239,0.863531,0.133926,0.193114
2,190,21.606647,4,-0.473659,-1.052392,0.271239,0.431539,-0.120052,0.292525
3,183,28.367523,3,-0.476572,-0.769781,-0.287258,0.361289,0.685428,0.555989
2,179,20.910707,3,-1.009754,-0.21899,0.735498,0.841798,1.224878,-0.033456
1,190,26.03878,4,-0.723736,-1.601218,-0.235925,1.283991,0.443503,-0.060585
1,190,19.944599,3,-1.05978,-1.193698,-0.211554,-0.273014,0.831904,-1.969085
1,181,26.555965,3,-0.075958,0.586377,-0.39049,0.145223,-0.50102,0.24414
2,183,22.096807,2,-1.318114,0.065587,0.164852,0.030112,0.970899,0.179922
3,178,22.724403,4,0.635931,0.047224,1.016607,0.856048,0.221017,-0.430261
2,176,21.629648,4,0.080408,0.064604,0.255368,0.094197,-0.485227,0.207917
2,174,23.781214,3,-1.009754,-0.237353,-0.596388,-0.61118,0.741027,0.477789
2,190,22.99169,3,-0.330649,-0.352097,-0.061203,-0.366308,0.264609,0.534354
2,178,21.777554,3,0.080408,-1.053375,-0.267666,0.72119,0.133926,0.023367
1,186,30.061279,3,-0.454231,-0.218007,0.477702,0.076111,0.673375,0.307902
1,170,22.83737,4,-0.074501,0.330327,-0.265806,0.04743,-0.340205,0.465902
2,185,21.913805,4,-0.332835,0.746537,-0.796776,-0.385559,-0.649782,0.076762
2,175,23.510204,3,-0.207068,0.328853,-0.529184,-0.063173,-0.429629,0.039043
2,168,32.242062,2,-0.630024,-0.625036,-0.144843,-0.423733,0.288714,0.31999
2,186,26.014568,3,-0.065515,-0.361278,-0.546915,0.359667,0.100101,0.025752
2,183,25.680075,3,-0.740978,0.472616,-0.15836,0.476604,-0.4913,0.381965
2,196,26.551437,4,-1.277802,0.329836,-0.548776,0.317822,0.685428,0.30676
1,172,26.365602,3,0.36497,-0.806507,-1.310015,0.315169,-0.869934,0.195858
3,180,30.864197,1,-0.863831,-1.895959,0.721488,-0.376281,0.274375,-1.305943
3,183,25.381468,4,-0.352262,-0.341933,-0.277462,0.473337,0.254889,-0.188665
2,186,25.147415,4,-1.153492,0.472124,-0.416156,0.182598,0.282688,0.5117
1,180,22.222221,3,-0.165299,1.42847,-1.099831,-0.779042,-1.191564,0.427711
3,184,27.76465,3,-0.478029,-1.90514,-0.267666,0.061034,0.753079,0.40477
3,180,27.469135,3,-0.478029,-1.335986,-0.006149,0.571179,-0.318432,0.144229
3,187,22.877405,4,-0.06333,0.18853,-0.55485,-0.512902,0.437476,0.266555
2,180,23.456791,3,-0.764048,0.349673,0.051824,0.032741,-0.106592,0.176329
2,181,25.335003,3,-0.455688,-0.239318,0.235776,0.845632,-0.132105,0.330618
2,186,24.280264,3,-0.452774,-1.071738,0.997016,0.867009,0.915301,0.41784
2,182,23.245985,3,0.635931,0.028861,0.981145,0.432533,0.462943,0.152051
2,171,22.571047,3,0.181648,0.04575,-0.806572,0.220678,0.260915,0.434744
2,184,32.490547,4,-1.010483,0.59605,0.243712,0.355654,-0.104306,0.215552
3,180,37.65432,2,0.594162,-1.355332,0.290831,0.314504,0.003197,0.01443
2,174,31.377989,3,0.098379,0.329836,0.513164,0.9772,0.121873,-0.147382
2,180,24.074074,3,-0.18764,-0.370951,-0.675813,-0.623087,-0.937585,0.353598
